monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak,type,fire_element,water_element,thunder_element,ice_element,dragon_element,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default,threat_level
Akantor,0.01,0.2,0.86,0.0,0.83,Flying Wyvern,True,False,False,False,True,3854.5,4142.5,3554.8,3796.0,2686.2,2799.9,3049.0,10
Ashen Lao-Shan Lung,0.4,0.02,0.18,0.02,0.76,Elder Dragon,False,False,False,False,True,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0,7
Azure Rathalos,0.0,0.15,0.16,0.3,0.38,Flying Wyvern,True,False,False,False,False,2085.6,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4,7
Basarios,0.17,0.37,0.13,0.13,0.46,Flying Wyvern,True,False,False,False,False,1673.9,1725.8,1531.2,1660.9,1154.9,1206.8,1297.6,4
Black Diablos,0.01,0.13,0.25,0.55,0.24,Flying Wyvern,False,False,False,False,False,2790.8,2810.7,2451.9,2750.9,1893.7,1933.6,1993.4,7
Black Gravios,0.0,0.8,0.02,0.0,0.01,Flying Wyvern,True,False,False,False,False,2834.9,3002.9,2603.9,2813.9,1952.9,2036.9,2099.9,8
Blangonga,0.26,0.02,0.19,0.0,0.0,Pelagus,False,False,False,True,False,1186.8,1229.8,1075.0,1178.2,825.6,851.4,860.0,5
Blue Yian Kut-Ku,0.06,0.53,0.41,0.4,0.01,Bird Wyvern,True,False,False,False,False,1122.2,1204.9,1048.6,1113.0,6217.9,809.4,919.8,3
Bulldrome,0.06,0.06,0.38,0.04,0.0,Pelagus,False,False,False,False,False,741.5,820.7,639.6,724.5,503.7,554.7,566.0,2
Cephadrome,0.0,0.15,0.21,0.41,0.03,Piscine Wyvern,False,False,False,False,False,1876.7,2015.2,1815.2,1861.3,1369.1,1430.6,1538.3,3
Chameleos,0.93,0.0,0.47,0.0,0.87,Elder Dragon,False,False,False,False,True,2459.0,2633.4,2092.8,2451.6,1656.8,1674.2,1744.0,8
Congalala,0.52,0.12,0.14,0.15,0.0,Pelagus,False,False,False,False,False,1239.8,1377.6,1141.4,1220.2,915.1,954.5,984.0,4
Copper Blangonga,0.0,0.17,0.02,0.29,0.0,Pelagus,False,False,False,False,False,1186.8,1247.0,1075.0,1178.2,799.8,842.8,860.0,6
Crimson Fatalis,0.43,0.07,0.08,0.08,1.0,Elder Dragon,True,False,False,False,True,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6,10
Daimyo Hermitaur,0.82,0.05,0.83,0.23,0.0,Carapaceon,False,True,False,False,False,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044.0,4
Diablos,0.01,0.13,0.25,0.55,0.24,Flying Wyvern,False,False,False,False,False,2770.8,3069.8,2491.8,2750.9,1893.7,1933.6,1993.4,7
Emerald Congalala,0.03,0.14,0.12,0.63,0.0,Pelagus,False,False,False,False,False,1230.0,1377.6,1141.4,1220.2,934.8,954.5,984.0,6
Fatalis,0.21,0.02,0.03,0.1,0.73,Elder Dragon,True,False,False,False,True,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6,10
Furious Rajang,0.0,0.02,0.0,0.29,0.0,Pelagus,False,False,True,False,False,1344.0,1440.0,2841.6,2841.6,960.0,979.2,960.0,9
Gendrome,0.07,0.01,0.1,0.15,0.01,Bird Wyvern,False,False,False,False,False,908.2,959.9,878.7,900.8,649.8,664.6,738.4,3
Giadrome,0.17,0.04,0.05,0.01,0.01,Bird Wyvern,False,False,False,True,False,908.2,996.8,878.7,900.8,649.8,664.6,738.4,3
Gold Rathian,0.0,0.07,0.25,0.08,0.42,Flying Wyvern,True,False,False,False,False,2122.8,2303.8,11206.5,2106.4,1497.5,1530.4,1645.6,8
Gravios,0.0,0.67,0.02,0.07,0.54,Flying Wyvern,True,False,False,False,False,2834.9,2981.9,2582.9,2813.9,1973.9,2036.9,2099.9,7
Green Plesioth,0.46,0.0,0.55,0.02,0.02,Piscine Wyvern,False,True,False,False,False,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2,5
Gypceros,0.56,0.12,0.0,0.12,0.07,Bird Wyvern,False,False,False,False,False,1267.1,1348.2,1206.3,6670.1,892.1,942.7,1013.7,4
Hypnocatrice,0.28,0.06,0.18,0.13,0.04,Bird Wyvern,False,False,False,False,False,1010.2,1177.2,960.1,1001.9,734.7,759.8,834.9,4
Iodrome,0.04,0.09,0.09,0.01,0.01,Bird Wyvern,False,False,False,False,False,908.2,959.9,878.7,900.8,649.8,664.6,738.4,3
Khezu,0.51,0.02,0.0,0.02,0.02,Flying Wyvern,False,False,True,False,False,1178.8,1205.0,1030.4,1170.1,436.6,803.3,873.2,4
King Shakalaka,0.0,0.01,0.02,0.06,0.02,Lynian,True,False,False,False,False,151.7,163.0,139.9,149.4,105.7,110.2,120.0,2
Kirin,0.08,0.09,0.0,0.06,0.02,Elder Dragon,False,False,True,False,False,821.3,928.6,603.6,812.5,441.1,450.4,464.3,6
Kushala Daora,0.11,0.01,1.0,0.0,0.88,Elder Dragon,False,False,False,False,True,1892.4,2176.3,1750.5,1876.6,1419.3,10692.1,1577.0,8
Lao-Shan Lung,0.4,0.02,0.18,0.02,0.76,Elder Dragon,False,False,False,False,True,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0,6
Lavasioth,0.0,0.46,0.1,0.09,0.02,Piscine Wyvern,True,False,False,False,False,2578.9,2845.7,2445.5,2556.7,1800.8,1889.7,2223.2,6
Lunastra,0.0,0.2,0.07,0.63,0.85,Elder Dragon,True,False,False,False,True,2105.4,2262.0,2001.0,2088.0,1496.4,1583.4,1740.0,9
Monoblos,0.07,0.0,0.55,0.4,0.0,Flying Wyvern,False,False,False,False,False,2545.3,2805.9,2365.0,2525.3,1863.9,14109.6,2004.2,6
Nargacuga,0.57,0.02,0.52,0.02,0.11,Flying Wyvern,False,False,False,False,False,1970.7,2098.9,1906.6,1954.7,1377.9,1442.0,1602.2,6
Pink Rathian,0.0,0.07,0.25,0.05,0.42,Flying Wyvern,True,False,False,False,False,2122.8,2303.8,1941.8,2073.5,1464.6,1530.4,1645.6,6
Plesioth,0.46,0.0,0.55,0.02,0.02,Piscine Wyvern,False,True,False,False,False,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2,5
Plum D.Hermitaur,0.19,0.05,0.42,1.0,0.0,Carapaceon,False,True,False,False,False,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044.0,5
Purple Gypceros,0.56,0.12,0.0,0.12,0.07,Bird Wyvern,False,False,False,False,False,1267.1,1368.5,1206.3,1257.0,902.2,942.7,1013.7,4
Rajang,0.0,0.02,0.0,0.29,0.0,Pelagus,False,False,True,False,False,1344.0,1555.2,1228.8,1334.4,912.0,979.2,960.0,8
Rathalos,0.0,0.25,0.1,0.63,0.23,Flying Wyvern,True,False,False,False,False,2069.3,2216.0,1857.5,2053.0,1433.9,1466.5,1629.4,7
Rathian,0.0,0.07,0.25,0.08,0.42,Flying Wyvern,True,False,False,False,False,2139.3,2221.6,4492.5,4492.5,1448.1,1530.4,1645.6,6
Red Khezu,0.02,0.53,0.0,0.02,0.02,Flying Wyvern,False,False,True,False,False,1178.8,1205.0,1039.1,1170.1,6278.3,812.1,873.2,5
Rusted Kushala Daora,0.0,1.0,0.01,0.0,0.68,Elder Dragon,False,False,False,False,True,1892.4,2065.9,1734.7,1797.8,1387.8,1435.1,1577.0,8
Scarred Yian Garuga,0.01,0.64,0.01,0.15,0.09,Bird Wyvern,True,False,False,False,False,1248.4,1341.2,1196.8,1238.0,887.3,938.8,1031.7,7
Shen Gaoren,0.25,0.02,0.19,0.02,0.61,Carapaceon,False,False,False,False,False,4283.1,4603.1,3950.0,4218.0,2984.8,3111.2,3388.0,8
Shogun Ceanataur,0.05,0.13,0.75,0.22,0.0,Carapaceon,False,True,False,False,False,1035.6,1294.5,983.8,1018.3,742.2,811.2,863.0,6
Silver Rathalos,0.0,0.39,0.42,0.06,0.0,Flying Wyvern,True,False,False,False,False,2069.3,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4,8
Teostra,0.0,0.59,0.07,0.22,0.85,Elder Dragon,True,False,False,False,True,2175.0,2436.0,1914.0,2157.6,1496.4,1531.2,1740.0,8
Terra S.Ceanataur,0.05,0.13,0.75,0.22,0.0,Carapaceon,False,True,False,False,False,1035.6,1260.0,983.8,1018.3,742.2,811.2,863.0,6
Tigrex,0.01,0.24,0.94,0.07,0.33,Flying Wyvern,False,False,False,False,False,2134.4,2394.7,2065.0,2117.1,1527.1,1561.8,1735.3,7
Ukanlos,1.0,0.04,0.66,0.0,0.26,Flying Wyvern,False,False,False,True,True,4030.2,4331.3,3716.8,3969.0,2808.6,2927.6,3188.0,10
Velocidrome,0.12,0.12,0.13,0.18,0.01,Bird Wyvern,False,False,False,False,False,908.2,959.9,878.7,900.8,649.8,664.6,738.4,2
Vespoid Queen,0.17,0.08,0.01,0.08,0.0,Neopteron,False,False,False,False,False,873.6,938.8,805.6,860.3,608.8,634.6,691.0,3
White Fatalis,0.43,0.07,0.08,0.08,1.0,Elder Dragon,True,False,False,False,True,5207.5,5596.5,4802.5,5128.3,3629.0,3782.7,4119.2,10
White Monoblos,0.07,0.0,0.55,0.4,0.0,Flying Wyvern,False,False,False,False,False,2545.3,2805.8,2324.9,2525.3,1863.9,1883.9,2004.2,6
Yama Tsukami,0.0,0.0,0.0,0.63,0.62,Elder Dragon,False,False,False,False,True,5230.0,5620.7,4823.3,5150.5,3644.7,3799.1,4137.0,9
Yian Garuga,0.01,0.64,0.01,0.15,0.09,Bird Wyvern,True,False,False,False,False,1248.4,1341.2,1186.5,1238.0,887.3,938.8,1031.7,6
Yian Kut-Ku,0.06,0.53,0.41,0.4,0.01,Bird Wyvern,True,False,False,False,False,1122.2,1177.3,1048.6,1113.0,459.9,809.0,919.8,3
