monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak,type,fire_element,water_element,thunder_element,ice_element,dragon_element,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default,threat_level
Abyssal Lagiacrus,0.29,0.0,0.0,0.05,0.62,Leviathan,False,False,True,False,False,5018.0,5392.9,4627.7,4941.7,3497.0,3645.1,3969.3,9
Agnaktor,0.0,0.72,0.03,0.24,0.1,Leviathan,True,False,False,False,False,3421.6,3625.9,3111.5,3322.6,2351.2,2416.1,2631.0,5
Alatreon (Flight),0.38,0.04,0.0,0.0,0.6,Elder Dragon,True,True,True,True,True,3925.3,4218.6,3620.1,3865.7,2735.5,2851.4,3105.0,10
Alatreon (Ground),0.0,0.22,0.05,0.3,0.05,Elder Dragon,True,True,True,True,True,3925.3,4218.6,3620.1,3865.7,2735.5,2851.4,3105.0,10
Arzuros,0.52,0.03,0.23,0.24,0.0,Fanged Beast,False,False,False,False,False,795.1,854.5,698.3,745.7,501.3,522.5,569.0,3
Azure Rathalos,0.0,0.21,0.21,0.24,0.78,Flying Wyvern,True,False,False,False,False,2248.6,2052.1,1760.9,1880.4,1330.6,1140.6,1242.1,7
Baleful Gigginox,0.04,0.78,0.0,0.0,0.18,Flying Wyvern,False,False,True,False,False,1266.7,1407.7,1208.0,1289.9,912.8,982.8,1070.2,5
Barioth,0.68,0.02,0.45,0.0,0.08,Flying Wyvern,False,False,False,True,False,2580.9,2783.9,2388.9,2551.0,1805.2,1888.5,2056.5,6
Barroth,0.31,0.48,0.0,0.14,0.0,Brute Wyvern,False,False,False,False,False,1744.3,1837.7,1576.9,1683.9,1191.6,1217.1,1325.4,4
Black Diablos,0.03,0.33,0.33,0.52,0.33,Flying Wyvern,False,False,False,False,False,2930.3,2954.8,2535.6,2707.6,1916.0,1865.7,2031.7,7
Brachydios,0.0,0.52,0.04,0.15,0.02,Brute Wyvern,True,False,False,False,False,1932.7,2029.2,1741.3,1859.5,1315.8,1339.2,1458.3,7
Ceadeus,0.11,0.0,0.49,0.0,0.92,Elder Dragon,False,True,False,False,True,7379.3,7930.7,6805.5,7267.2,5142.6,5360.4,5837.2,9
Crimson Qurupeco,0.36,0.14,0.0,0.48,0.04,Bird Wyvern,False,False,True,False,False,1085.4,840.2,721.0,769.9,544.8,347.3,378.2,3
Deviljho,0.16,0.16,0.48,0.01,0.42,Brute Wyvern,False,False,False,False,True,4097.8,3535.7,3034.1,3240.0,2292.7,1803.0,1963.4,8
Diablos,0.01,0.22,0.22,0.56,0.22,Flying Wyvern,False,False,False,False,False,3030.0,2957.0,2537.5,2709.6,1917.4,1796.3,1956.1,7
Dire Miralis,0.0,0.12,0.15,0.1,0.57,Elder Dragon,True,False,False,False,False,7949.2,8543.1,7331.1,7828.4,5539.7,5774.4,6288.0,10
Duramboros,0.68,0.05,0.27,0.21,0.18,Brute Wyvern,False,False,False,False,False,2430.0,2611.5,1992.5,2127.6,1317.8,1373.6,1495.8,6
Gigginox,0.72,0.25,0.0,0.0,0.04,Flying Wyvern,False,False,False,False,False,1266.7,1407.7,1208.0,1289.9,912.8,982.8,1070.2,4
Glacial Agnaktor,0.9,0.0,0.18,0.0,0.47,Leviathan,False,True,False,True,False,2955.4,3176.2,2817.8,3008.9,2198.9,2292.0,2495.9,6
Gobul,0.13,0.0,0.68,0.01,0.0,Leviathan,False,True,False,False,False,2844.8,2684.8,2303.9,2460.2,1741.0,1562.9,1701.9,5
Gold Rathian,0.0,0.36,0.7,0.07,0.0,Flying Wyvern,True,False,False,False,False,2303.8,2090.1,1793.5,1915.2,1355.3,1151.9,1254.4,8
Goldbeard Ceadeus,0.11,0.0,0.59,0.0,0.92,Elder Dragon,False,True,False,False,False,7379.3,7930.7,6805.5,7267.2,5142.6,5360.4,5837.2,9
Great Baggi,0.5,0.01,0.08,0.0,0.0,Bird Wyvern,False,False,False,False,False,1458.0,1404.2,1205.0,1286.7,910.5,839.1,913.7,1
Great Jaggi,0.9,0.62,0.62,0.39,0.02,Bird Wyvern,False,False,False,False,False,1261.3,1286.1,1103.6,1178.5,833.9,822.3,895.4,2
Great Wroggi,0.0,0.1,0.01,0.25,0.0,Bird Wyvern,False,False,False,False,False,1086.9,1168.1,1051.5,1122.8,831.7,866.9,944.0,2
Green Nargacuga,0.42,0.03,0.72,0.04,0.22,Flying Wyvern,False,False,False,False,False,2002.9,2119.3,1818.6,1942.0,1374.3,1410.0,1535.4,6
Green Plesioth,0.55,0.0,0.78,0.02,0.04,Piscine Wyvern,False,True,False,False,False,3877.9,3656.0,3137.3,3350.2,2370.7,2125.3,2314.4,5
Hallowed Jhen Mohran,0.64,0.0,0.29,0.0,0.29,Elder Dragon,False,False,False,False,False,14110.8,15165.0,13013.5,13896.4,9833.7,10250.1,11161.9,10
Ivory Lagiacrus,0.69,0.0,0.0,0.08,0.69,Leviathan,False,True,True,False,False,3310.6,3640.2,3123.7,3335.7,2360.4,2516.0,2739.8,7
Jade Barroth,0.5,0.0,0.28,0.0,0.01,Brute Wyvern,False,False,False,True,False,1744.3,1873.8,1608.0,1717.1,1215.1,1266.0,1378.6,5
Jhen Mohran,0.0,0.23,0.23,0.44,0.66,Elder Dragon,False,False,False,False,False,14110.8,15165.0,13013.5,13896.4,9833.7,10250.1,11161.9,8
Lagiacrus,0.57,0.0,0.0,0.06,0.09,Leviathan,False,False,True,False,False,3310.6,3503.1,3006.1,3210.0,2271.6,2330.7,2538.0,7
Lagombi,0.55,0.0,0.14,0.0,0.0,Fanged Beast,False,False,False,True,False,1471.9,1581.9,820.5,876.1,214.2,223.3,243.1,1
Lucent Nargacuga,0.08,0.25,0.02,0.41,0.31,Flying Wyvern,False,False,False,False,False,3165.3,3401.8,2919.1,3117.2,2205.9,2299.3,2503.8,8
Nargacuga,0.42,0.03,0.72,0.04,0.22,Flying Wyvern,False,False,False,False,False,2355.1,2450.8,2103.0,2245.7,1589.2,1602.2,1744.7,6
Nibelsnarf,0.0,0.27,0.49,0.42,0.06,Leviathan,False,False,False,False,False,4366.8,4693.1,3210.0,3427.8,1808.1,1884.7,2052.3,4
Pink Rathian,0.0,0.09,0.33,0.06,0.68,Flying Wyvern,True,False,False,False,False,2303.8,2090.1,1793.5,1915.2,1355.3,1151.9,1254.4,6
Plesioth,0.55,0.0,0.78,0.02,0.04,Piscine Wyvern,False,True,False,False,False,3877.9,3556.7,3052.1,3259.2,2306.3,1991.1,2168.2,5
Purple Ludroth,0.57,0.0,0.21,0.03,0.0,Leviathan,False,False,False,False,False,1939.5,2128.1,1826.2,1950.1,1379.9,1467.9,1598.5,5
Qurupeco,0.06,0.53,0.38,0.5,0.02,Bird Wyvern,True,False,False,False,False,1085.4,1154.9,991.1,1058.3,748.9,772.8,841.5,3
Rathalos,0.01,0.15,0.45,0.1,0.8,Flying Wyvern,True,False,False,False,False,2248.6,2052.1,1760.9,1880.4,1330.6,1140.6,1242.1,7
Rathian,0.01,0.15,0.44,0.09,0.82,Flying Wyvern,True,False,False,False,False,2303.8,2090.1,1793.5,1915.2,1355.3,1151.9,1254.4,6
Royal Ludroth,1.0,0.0,0.11,0.04,0.0,Leviathan,False,True,False,False,False,1931.5,2043.8,1753.8,1872.8,1325.3,1359.8,1480.8,3
Rust Duramboros,0.07,0.72,0.13,0.45,0.19,Brute Wyvern,False,False,False,False,False,4454.8,3959.1,3397.4,3627.9,2567.3,2116.0,2304.2,5
Sand Barioth,0.0,0.18,0.31,0.36,0.07,Flying Wyvern,False,False,False,False,False,2118.8,2277.1,2122.1,2266.1,1730.6,1803.9,1964.4,6
Savage Deviljho,0.62,0.62,0.62,1.0,0.62,Brute Wyvern,False,False,False,False,True,4097.8,3535.7,3034.1,3240.0,2292.7,1803.0,1963.4,8
Silver Rathalos,0.0,0.36,0.7,0.07,0.0,Flying Wyvern,True,False,False,False,False,2248.6,2052.1,1760.9,1880.4,1330.6,1140.6,1242.1,8
Steel Uragaan,0.0,0.92,0.01,0.19,0.8,Brute Wyvern,True,False,False,False,False,3344.5,2100.6,1802.5,1924.8,1362.1,410.1,446.6,6
Stygian Zinogre,0.09,0.34,0.84,0.09,0.0,Fanged Wyvern,False,False,False,False,True,1887.0,2047.6,1757.1,1876.3,1327.7,1397.2,1521.5,8
Uragaan,0.0,0.88,0.0,0.13,0.56,Brute Wyvern,True,False,False,False,False,3344.5,2100.6,1802.5,1924.8,1362.1,410.1,446.6,6
Volvidon,0.0,0.52,0.14,0.17,0.0,Fanged Beast,False,False,False,False,False,830.0,892.0,788.4,841.9,613.1,639.1,695.9,4
Zinogre,0.22,0.3,0.0,0.3,0.11,Fanged Wyvern,False,False,True,False,False,2144.5,2052.9,1761.7,1881.2,1331.2,1217.4,1325.7,7
