name,type,dragon_element,fire_element,ice_element,thunder_element,water_element,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Seltas,Neopteron,0,0,0,0,0,80,40,110,40,0
Desert Seltas,Neopteron,0,0,0,0,0,40,40,55,80,0
Seltas Queen,Neopteron,0,0,0,0,1,100,0,40,85,0
Desert Seltas Queen,Neopteron,0,0,0,0,1,0,30,30,105,0
Nerscylla,Temnoceran,0,0,0,0,0,150,0,170,50,0
Shrouded Nerscylla,Temnoceran,0,0,0,0,0,75,0,35,135,0
Cephadrome,Piscine Wyvern,0,0,0,0,1,0,0,100,0,0
Great Jaggi,Bird Wyvern,0,0,0,0,0,60,40,40,40,10
Velocidrome,Bird Wyvern,0,0,0,0,0,55,55,55,70,15
Gendrome,Bird Wyvern,0,0,0,0,0,35,35,55,70,15
Iodrome,Bird Wyvern,0,0,0,0,0,35,55,55,20,15
Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,45,100,125,150,20
Blue Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,45,145,125,90,20
Gypceros,Bird Wyvern,0,0,0,0,0,130,45,0,90,70
Purple Gypceros,Bird Wyvern,0,0,0,0,0,120,45,0,90,70
Yian Garuga,Bird Wyvern,0,1,0,0,0,25,145,25,85,65
Daimyo Hermitaur,Carapaceon,0,0,0,0,1,295,75,275,150,0
Plum D.Hermitaur,Carapaceon,0,0,0,0,1,150,75,200,305,0
Kecha Wacha,Fanged Beast,0,0,0,0,1,115,0,65,45,0
Ash Kecha Wacha,Fanged Beast,0,1,0,0,0,0,100,50,50,0
Lagombi,Fanged Beast,0,0,1,0,0,100,0,55,0,0
Congalala,Fanged Beast,0,1,0,0,0,155,80,80,95,0
Emerald Congalala,Fanged Beast,0,1,0,0,0,50,115,90,166,0
Rajang,Fanged Beast,0,0,0,1,0,5,40,0,140,0
Apex Rajang,Fanged Beast,0,0,0,1,0,5,40,0,140,0
Furious Rajang,Fanged Beast,0,0,0,1,0,5,40,0,140,0
Tetsucabra,Amphibian,0,0,0,0,0,0,160,140,60,35
Berserk Tetsucabra,Amphibian,0,0,0,0,0,0,60,145,170,20
Zamtrios,Amphibian,0,0,1,0,1,210,0,215,0,70
Tigerstripe Zamtrios,Amphibian,0,0,0,0,1,25,0,100,145,40
Najarala,Snake Wyvern,0,0,0,0,0,40,115,65,190,25
Tidal Najarala,Snake Wyvern,0,0,0,0,1,170,25,125,0,25
Apex Tidal Najarala,Snake Wyvern,0,0,0,0,1,170,25,125,0,25
Brachydios,Brute Wyvern,0,1,0,0,0,0,225,85,245,55
Raging Brachydios,Brute Wyvern,0,0,0,0,0,0,225,85,245,55
Deviljho,Brute Wyvern,1,0,0,0,0,110,110,215,85,215
Apex Deviljho,Brute Wyvern,1,0,0,0,0,110,110,215,85,215
Savage Deviljho,Brute Wyvern,1,0,0,0,0,200,200,320,200,200
Khezu,Flying Wyvern,0,0,0,1,0,135,30,0,30,30
Red Khezu,Flying Wyvern,0,0,0,1,0,30,135,0,30,30
Basarios,Flying Wyvern,0,1,0,0,0,105,155,90,90,166
Ruby Basarios,Flying Wyvern,0,1,0,0,0,100,128,90,173,50
Gravios,Flying Wyvern,0,1,0,0,0,20,330,60,95,230
