name,type,dragon_element,fire_element,ice_element,thunder_element,water_element,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
King Shakalaka,Lynian,0,1,0,0,0,0.0,0.01,0.02,0.06,0.02
Vespoid Queen,Neopteron,0,0,0,0,0,0.17,0.08,0.01,0.08,0.0
Giadrome,Bird Wyvern,0,0,1,0,0,0.17,0.04,0.05,0.01,0.01
Gendrome,Bird Wyvern,0,0,0,0,0,0.07,0.01,0.1,0.15,0.01
Iodrome,Bird Wyvern,0,0,0,0,0,0.04,0.09,0.09,0.01,0.01
Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.06,0.53,0.41,0.4,0.01
Blue Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.06,0.53,0.41,0.4,0.01
Yian Garuga,Bird Wyvern,0,1,0,0,0,0.01,0.64,0.01,0.15,0.09
Scarred Yian Garuga,Bird Wyvern,0,1,0,0,0,0.01,0.64,0.01,0.15,0.09
Gypceros,Bird Wyvern,0,0,0,0,0,0.56,0.12,0.0,0.12,0.07
Purple Gypceros,Bird Wyvern,0,0,0,0,0,0.56,0.12,0.0,0.12,0.07
Hypnocatrice,Bird Wyvern,0,0,0,0,0,0.28,0.06,0.18,0.13,0.04
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.07,0.25,0.08,0.42
Pink Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.07,0.25,0.05,0.42
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.07,0.25,0.08,0.42
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.25,0.1,0.63,0.23
Azure Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.15,0.16,0.3,0.38
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.39,0.42,0.06,0.0
Khezu,Flying Wyvern,0,0,0,1,0,0.51,0.02,0.0,0.02,0.02
Red Khezu,Flying Wyvern,0,0,0,1,0,0.02,0.53,0.0,0.02,0.02
Basarios,Flying Wyvern,0,1,0,0,0,0.17,0.37,0.13,0.13,0.46
Gravios,Flying Wyvern,0,1,0,0,0,0.0,0.67,0.02,0.07,0.54
Black Gravios,Flying Wyvern,0,1,0,0,0,0.0,0.8,0.02,0.0,0.01
Monoblos,Flying Wyvern,0,0,0,0,0,0.07,0.0,0.55,0.4,0.0
White Monoblos,Flying Wyvern,0,0,0,0,0,0.07,0.0,0.55,0.4,0.0
Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.13,0.25,0.55,0.24
Black Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.13,0.25,0.55,0.24
Tigrex,Flying Wyvern,0,0,0,0,0,0.01,0.24,0.94,0.07,0.33
Nargacuga,Flying Wyvern,0,0,0,0,0,0.57,0.02,0.52,0.02,0.11
Akantor,Flying Wyvern,1,1,0,0,0,0.01,0.2,0.86,0.0,0.83
Ukanlos,Flying Wyvern,1,0,1,0,0,1.0,0.04,0.66,0.0,0.26
Cephadrome,Piscine Wyvern,0,0,0,0,0,0.0,0.15,0.21,0.41,0.03
Plesioth,Piscine Wyvern,0,0,0,0,1,0.46,0.0,0.55,0.02,0.02
Green Plesioth,Piscine Wyvern,0,0,0,0,1,0.46,0.0,0.55,0.02,0.02
Lavasioth,Piscine Wyvern,0,1,0,0,0,0.0,0.46,0.1,0.09,0.02
Daimyo Hermitaur,Carapaceon,0,0,0,0,1,0.82,0.05,0.83,0.23,0.0
Plum D.Hermitaur,Carapaceon,0,0,0,0,1,0.19,0.05,0.42,1.0,0.0
Shogun Ceanataur,Carapaceon,0,0,0,0,1,0.05,0.13,0.75,0.22,0.0
