monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Agnaktor,3421.64,,,,,2416.1,
Glacial Agnaktor,,3176.2,,,2198.91,,
Alatreon,,,,,,,3105
Arzuros,,854.55,,,501.34,,
Barioth,2580.91,,,,,1888.47,
Sand Barioth,,2277.13,,,1730.62,,
Barroth,1744.3,,,,,1217.1,
Jade Barroth,1744.31,,,,,1266.0,
Brachydios,1932.69,,,,,1339.18,
Ceadeus,,,,,,,5837.2
Goldbeard Ceadeus,,,,,,,5837.2
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Dire Miralis,,,,,,,6288
Duramboros,,2611.5,,,1317.84,,
Rust Duramboros,4454.84,,,,,2116.045,
Gigginox,1266.7,,,,,982.8,
Baleful Gigginox,1266.7,,,,,982.8,
Gobul,2844.8,,,,,1562.9,
Great Jaggi,1261.31,,,,,822.27,
Great Baggi,1457.97,,,,,839.12,
Great Wroggi,,1168.13,,,831.7,,
Jhen Mohran,,,,,,,11161.9
Hallowed Jhen Mohran,,,,,,,11161.9
Lagiacrus,3310.6,,,,,2330.7,
Ivory Lagiacrus,3310.6,,,,,2516.0,
Abyssal Lagiacrus,,,,,,,3969.3
Lagombi,,1581.9,,,214.16,,
Royal Ludroth,1931.5,,,,,1359.78,
Purple Ludroth,1939.5,,,,,1467.94,
Nargacuga,2355.13,,,,,1602.19,
Green Nargacuga,2002.88,,,,,1410.02,
Lucent Nargacuga,,,,,,,2503.8
Nibelsnarf,,4693.15,,,1808.1,,
Plesioth,3877.9,,,,,1991.11,
Green Plesioth,3877.9,,,,,2125.3,
Qurupeco,1085.4,,,,,772.8,
Crimson Qurupeco,1085.4,,,,,347.32,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Uragaan,3344.48,,,,,410.06,
Steel Uragaan,3344.48,,,,,410.06,
Volvidon,,892.0,,,613.08,,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
