monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Aknosom,1043.75,,,,,763.72,
Almudron,3368.12,,,,,2425.04,
Magma Almudron,3341.18,,,,,2478.94,
Amatsu,,,,,,,3440.72
Anjanath,2008.68,,,,,1448.88,
Astalos,2194.07,,,,,1544.63,
Arzuros,,854.55,,,501.34,,
Apex Arzuros,,,,,,,
Barioth,2580.91,,,,,1888.47,
Barroth,1744.3,,,,,1217.1,
Bazelgeuse,2410.48,,,,,1696.97,
Seething Bazelgeuse,,,,,,,
Basarios,1754.6,,,,,1154.9,
Bishaten,1054.26,,,,,832.3,
Blood Orange Bishaten,1054.26,,,,,832.31,
Chameleos,2811.32,,,,,1395.2,
Risen Chameleos,2811.32,,,,,2249.06,
Daimyo Hermitaur,1451.2,,,,,450.45,
Diablos,3030.0,,,,,1796.26,
Apex Diablos,2838.67,,,,,2157.39,
Espinas,2477.2,,,,,836.9,
Flaming Espinas,2812.0,,,,,1489.7,
Gaismagorm,,,,,,,4807.54
Garangolm,1789.39,,,,,1529.3,
Gore Magala,2201.12,,,,,1549.59,
Chaotic Gore Magala,2165.9,,,,,1584.8,
Goss Harag,906.04,,,,,643.25,
Great Baggi,1457.97,,,,,839.12,
Great Izuchi,1343.87,,,,,946.08,
Great Wroggi,,1168.13,,,831.7,,
Jyuratodus,1885.89,,,,,1327.66,
Khezu,1225.5,,,,,436.6,
Kulu-Ya-Ku,1126.55,,,,,802.1,
Kushala Daora,2391.41,,,,,1261.6,
Risen Kushala Daora,2388.52,,,,,1747.7,
Lagombi,,1581.9,,,214.16,,
Lunagaron,1739.5,,,,,1272.8,
Magnamalo,2276.11,,,,,1602.38,
Scorned Magnamalo,2343.47,,,,,1802.67,
Malzeno,2477.15,,,,,1843.47,
Primordial Malzeno,2435.51,,,,,1873.47,
Mizutsune,2356.4,,,,,565.54,
Apex Mizutsune,2506.31,,,,,2110.57,
Violet Mizutsune,2269.9,,,,,1738.0,
Nargacuga,2355.13,,,,,1602.19,
Lucent Nargacuga,,,,,,,2503.8
Pukei-Pukei,1344.99,,,,,970.16,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1188.18,,,,,869.4,
Rakna-Kadaki,1071.16,,,,,771.23,
Pyre Rakna-Kadaki,1071.16,,,,,771.23,
Rathalos,2248.6,,,,,1140.6,
Apex Rathalos,2305.8,,,,,1818.4,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Apex Rathian,2299.98,,,,,1936.82,
Gold Rathian,2303.8,,,,,1151.9,
Royal Ludroth,1931.5,,,,,1359.78,
Seregios,2246.53,,,,,1520.73,
Shagaru Magala,2187.06,,,,,1564.73,
Risen Shagaru Magala,2030.58,,,,,1561.98,
Shogun Ceanataur,1294.5,,,,,586.03,
Somnacanth,1899.97,,,,,1390.52,
Aurora Somnacanth,1900.35,,,,,1375.04,
Teostra,2610.0,,,,,1479.0,
Risen Teostra,2201.88,,,,,1736.44,
Tetranadon,1206.23,,,,,849.19,
Thunder Serpent Narwa,,,,,,,3875.05
Narwa the Allmother,,,,,,,3875.05
Tigrex,2914.8,,,,,1388.2,
Tobi-Kadachi,1573.63,,,,,1157.46,
Crimson Glow Valstrax,2551.22,,,,,1796.06,
Risen Crimson Glow Valstrax,2408.35,,,,,1836.88,
Velkhana,3245.06,,,,,2336.45,
Volvidon,,892.0,,,613.08,,
Wind Serpent Ibushi,,,,,,,3068.6
Apex Zinogre,,,,,,,
