monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Alatreon,,,,,,,2969
Anjanath,2008.68,,,,,1448.88,
Fulgur Anjanath,2008.68,,,,,1481.81,
Banbaro,,,,,,,
Barioth,2580.91,,,,,1888.47,
Frostfang Barioth,,,,,,,
Barroth,1744.3,,,,,1217.1,
Bazelgeuse,2410.48,,,,,1696.97,
Seething Bazelgeuse,,,,,,,
Behemoth,,,,,,,3423.65
Beotodus,2044.26,,,,,1945.78,
Brachydios,1932.69,,,,,1339.18,
Raging Brachydios,,,,,,,2282.77
Deviljho,4097.8,,,,,1803.0,
Savage Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Dodogama,2000.0,,,,,977.78,
Fatalis,,,,,,,4137.17
Glavenus,3174.36,,,,,2234.75,
Acidic Glavenus,,,,,,,
Great Girros,1316.44,,,,,937.3,
Great Jagras,1997.39,,,,,277.42,
Jyuratodus,1885.89,,,,,1327.66,
Kirin,989.64,,,,,371.4,
Kulve Taroth,,,,,,,4573.25
Kushala Daora,2391.41,,,,,1261.6,
Lavasioth,3476.6,,,,,1581.57,
Legiana,2124.69,,,,,1495.78,
Shrieking Legiana,2252.98,,,,,1529.78,
Leshen,,,,,,,549.7
Ancient Leshen,,,,,,,633.81
Lunastra,2575.2,,,,,1444.2,
Namielle,2560.31,,,,,1822.94,
Nargacuga,2355.13,,,,,1602.19,
Nergigante,2310.14,,,,,1626.35,
Ruiner Nergigante,2310.15,,,,,1663.31,
Odogaron,1735.94,,,,,541.61,
Ebony Odogaron,1722.05,,,,,1249.88,
Paolumu,1429.2,,,,,1006.16,
Nightshade Paolumu,1406.33,,,,,1006.16,
Pukei-Pukei,1344.99,,,,,970.16,
Coral Pukei-Pukei,,,,,,,
Radobaan,2182.2,,,,,1587.05,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1188.18,,,,,869.4,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Safi'jiiva,,,,,,,4799.78
Shara Ishvalda,,,,,,,2910.91
Teostra,2610.0,,,,,1479.0,
Tigrex,2914.8,,,,,1388.2,
Brute Tigrex,2169.38,,,,,1579.21,
Tobi-Kadachi,1573.63,,,,,1157.46,
Viper Tobi-Kadachi,,,,,,,
Tzitzi-Ya-Ku,1117.55,,,,,786.76,
Uragaan,3344.48,,,,,410.06,
Vaal Hazak,2598.3,,,,,1843.95,
Blackveil Vaal Hazak,,,,,,,
Velkhana,3245.06,,,,,2336.45,
Xeno'jiiva,,,,,,,4509.1
Yian Garuga,1744.5,,,,,887.3,
Scarred Yian Garuga,1744.5,,,,,887.3,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
Zorah Magdaros,,,,,,,25764.59
