monster,golden-largest-min,golden-largest-max,silver-min,silver-max,golden-smallest-min,golden-smallest-max,default
Ajarakan,1455.44,,,,,1047.92,
Arkveld,2083.17,,,,,1483.22,
Guardian Arkveld,,,,,,1666.54,
Balahara,2371.64,,,,,1702.22,
Blangonga,1221.2,,,,,791.12,
Chatacabra,612.9,,,,,443.48,
Congalala,1670.76,,,,,491.4,
Doshaguma,1807.61,,,,,1237.51,
Guardian Doshaguma,1724.18,,,,,1251.42,
Gore Magala,2201.12,,,,,1549.59,
Gravios,3065.9,,,,,1049.35,
Guardian Ebony Odogaron,1708.16,,,,,,
Guardian Fulgur Anjanath,2058.07,,,,,1465.34,
Gypceros,1348.2,,,,,811.0,
Hirabami,1908.24,,,,,1476.81,
Jin Dahaad,4560.89,,,,,,
Lala Barina,866.44,,,,,621.88,
Mizutsune,2356.4,,,,,565.54,
Nerscylla,1126.57,,,,,651.63,
Nu Udra,2365.88,,,,,1884.32,
Quematrice,1542.76,,,,,1107.3,
Rathalos,2248.6,,,,,1140.6,
Guardian Rathalos,2130.27,,,,,1533.79,
Rathian,2303.8,,,,,1151.9,
Rey Dau,2571.35,,,,,1851.37,
Rompopolo,1497.27,,,,,1066.05,
Uth Duna,3426.18,,,,,2681.36,
Xu Wu,1745.37,,,,,1242.7,
Yian Kut-Ku,1233.23,,,,,449.3,
Zoh Shia,4623.59,,,,,,
