monster,fire_element,water_element,thunder_element,ice_element,dragon_element
Abyssal Lagiacrus,False,False,True,False,False
Agnaktor,True,False,False,False,False
Alatreon,True,True,True,True,True
Arzuros,False,False,False,False,False
Azure Rathalos,True,False,False,False,False
Baleful Gigginox,False,False,True,False,False
Barioth,False,False,False,True,False
Barroth,False,False,False,False,False
Black Diablos,False,False,False,False,False
Brachydios,True,False,False,False,False
Ceadeus,False,True,False,False,True
Crimson Qurupeco,False,False,True,False,False
Deviljho,False,False,False,False,True
Diablos,False,False,False,False,False
Dire Miralis,True,False,False,False,False
Duramboros,False,False,False,False,False
Gigginox,False,False,False,False,False
Glacial Agnaktor,False,True,False,True,False
Gobul,False,True,False,False,False
Gold Rathian,True,False,False,False,False
Goldbeard Ceadeus,False,True,False,False,False
Great Baggi,False,False,False,False,False
Great Jaggi,False,False,False,False,False
Great Wroggi,False,False,False,False,False
Green Nargacuga,False,False,False,False,False
Green Plesioth,False,True,False,False,False
Hallowed Jhen Mohran,False,False,False,False,False
Ivory Lagiacrus,False,True,True,False,False
Jade Barroth,False,False,False,True,False
Jhen Mohran,False,False,False,False,False
Lagiacrus,False,False,True,False,False
Lagombi,False,False,False,True,False
Lucent Nargacuga,False,False,False,False,False
Nargacuga,False,False,False,False,False
Nibelsnarf,False,False,False,False,False
Pink Rathian,True,False,False,False,False
Plesioth,False,True,False,False,False
Purple Ludroth,False,False,False,False,False
Qurupeco,True,False,False,False,False
Rathalos,True,False,False,False,False
Rathian,True,False,False,False,False
Royal Ludroth,False,True,False,False,False
Rust Duramboros,False,False,False,False,False
Sand Barioth,False,False,False,False,False
Savage Deviljho,False,False,False,False,True
Silver Rathalos,True,False,False,False,False
Steel Uragaan,True,False,False,False,False
Stygian Zinogre,False,False,False,False,True
Uragaan,True,False,False,False,False
Volvidon,False,False,False,False,False
Zinogre,False,False,True,False,False
