monster,dragon_element,fire_element,ice_element,thunder_element,water_element
Akantor,True,True,False,False,False
Apex Deviljho,True,False,False,False,False
Apex Diablos,False,False,False,False,False
Apex Gravios,False,True,False,False,False
Apex Rajang,False,False,False,True,False
Apex Seregios,False,False,False,False,False
Apex Tidal Najarala,False,False,False,False,True
Apex Tigrex,False,False,False,False,False
Apex Zinogre,False,False,False,True,False
Ash Kecha Wacha,False,True,False,False,False
Azure Rathalos,False,True,False,False,False
Basarios,False,True,False,False,False
Berserk Tetsucabra,False,False,False,False,False
Black Diablos,False,False,False,False,False
Black Gravios,False,True,False,False,False
Blue Yian Kut-Ku,False,True,False,False,False
Brachydios,False,True,False,False,False
Brute Tigrex,False,False,False,False,False
Cephadrome,False,False,False,False,True
Chameleos,True,False,False,False,False
Chaotic Gore Magala,False,False,False,False,False
Congalala,False,True,False,False,False
Crimson Fatalis,True,True,False,False,False
Dah'ren Mohran,False,False,False,False,False
Daimyo Hermitaur,False,False,False,False,True
Dalamadur,False,False,False,False,False
Desert Seltas,False,False,False,False,False
Desert Seltas Queen,False,False,False,False,True
Deviljho,True,False,False,False,False
Diablos,False,False,False,False,False
Emerald Congalala,False,True,False,False,False
Fatalis,True,True,False,False,False
Furious Rajang,False,False,False,True,False
Gendrome,False,False,False,False,False
Gogmazios,False,True,False,False,False
Gold Rathian,False,True,False,False,False
Gore Magala,False,False,False,False,False
Gravios,False,True,False,False,False
Great Jaggi,False,False,False,False,False
Gypceros,False,False,False,False,False
Iodrome,False,False,False,False,False
Kecha Wacha,False,False,False,False,True
Khezu,False,False,False,True,False
Kirin,False,False,False,True,False
Kushala Daora,True,False,True,False,False
Lagombi,False,False,True,False,False
Molten Tigrex,False,False,False,False,False
Monoblos,False,False,False,False,False
Najarala,False,False,False,False,False
Nerscylla,False,False,False,False,False
Oroshi Kirin,False,False,True,False,False
Pink Rathian,False,True,False,False,False
Plum D.Hermitaur,False,False,False,False,True
Purple Gypceros,False,False,False,False,False
Raging Brachydios,False,False,False,False,False
Rajang,False,False,False,True,False
Rathalos,False,True,False,False,False
Rathian,False,True,False,False,False
Red Khezu,False,False,False,True,False
Ruby Basarios,False,True,False,False,False
Rusted Kushala Daora,True,False,False,False,False
Savage Deviljho,True,False,False,False,False
Seltas,False,False,False,False,False
Seltas Queen,False,False,False,False,True
Seregios,False,False,False,False,False
Shagaru Magala,False,False,False,False,False
Shah Dalamadur,False,False,False,False,False
Shrouded Nerscylla,False,False,False,False,False
Silver Rathalos,False,True,False,False,False
Stygian Zinogre,True,False,False,False,False
Teostra,True,True,False,False,False
Tetsucabra,False,False,False,False,False
Tidal Najarala,False,False,False,False,True
Tigerstripe Zamtrios,False,False,False,False,True
Tigrex,False,False,False,False,False
Ukanlos,False,False,True,False,False
Velocidrome,False,False,False,False,False
White Fatalis,True,False,False,True,False
White Monoblos,False,False,False,False,False
Yian Garuga,False,True,False,False,False
Yian Kut-Ku,False,True,False,False,False
Zamtrios,False,False,True,False,True
Zinogre,False,False,False,True,False
