monster,dragon_element,fire_element,ice_element,thunder_element,water_element
Aknosom,False,True,False,False,False
Almudron,False,False,False,False,True
Amatsu,False,False,False,False,True
Anjanath,False,True,False,False,False
Apex Arzuros,False,False,False,False,False
Apex Diablos,False,False,False,False,False
Apex Mizutsune,False,False,False,False,True
Apex Rathalos,False,True,False,False,False
Apex Rathian,False,True,False,False,False
Apex Zinogre,False,False,False,True,False
Arzuros,False,False,False,False,False
Astalos,False,False,False,True,False
Aurora Somnacanth,False,False,True,False,False
Barioth,False,False,True,False,False
Barroth,False,False,False,False,False
Basarios,False,True,False,False,False
Bazelgeuse,False,True,False,False,False
Bishaten,False,False,False,False,False
Blood Orange Bishaten,False,True,False,False,False
Chameleos,True,False,False,False,False
Chaotic Gore Magala,False,False,False,False,False
Crimson Glow Valstrax,True,False,False,False,False
Daimyo Hermitaur,False,False,False,False,True
Diablos,False,False,False,False,False
Espinas,False,True,False,False,False
Flaming Espinas,False,True,False,False,False
Furious Rajang,False,False,False,True,False
Gaismagorm,False,False,False,False,False
Garangolm,False,True,False,False,True
Gold Rathian,False,True,False,False,False
Gore Magala,False,False,False,False,False
Goss Harag,False,False,True,False,False
Great Baggi,False,False,False,False,False
Great Izuchi,False,False,False,False,False
Great Wroggi,False,False,False,False,False
Jyuratodus,False,False,False,False,True
Khezu,False,False,False,True,False
Kulu-Ya-Ku,False,False,False,False,False
Kushala Daora,True,False,True,False,False
Lagombi,False,False,True,False,False
Lucent Nargacuga,False,False,False,False,False
Lunagaron,False,False,True,False,False
Magma Almudron,False,True,False,False,False
Magnamalo,False,False,False,False,False
Malzeno,True,False,False,False,False
Mizutsune,False,False,False,False,True
Nargacuga,False,False,False,False,False
Narwa the Allmother,False,False,False,True,False
Primordial Malzeno,True,False,False,False,False
Pukei-Pukei,False,False,False,False,False
Pyre Rakna-Kadaki,False,True,False,False,False
Rajang,False,False,False,True,False
Rakna-Kadaki,False,True,False,False,False
Rathalos,False,True,False,False,False
Rathian,False,True,False,False,False
Risen Chameleos,False,False,False,False,False
Risen Crimson Glow Valstrax,True,False,False,False,False
Risen Kushala Daora,True,False,True,False,False
Risen Shagaru Magala,False,False,False,False,False
Risen Teostra,False,True,False,False,False
Royal Ludroth,False,False,False,False,True
Scorned Magnamalo,False,False,False,False,False
Seething Bazelgeuse,False,True,False,False,False
Seregios,False,False,False,False,False
Shagaru Magala,False,False,False,False,False
Shogun Ceanataur,False,False,False,False,True
Silver Rathalos,False,True,False,False,False
Somnacanth,False,False,False,False,False
Teostra,True,True,False,False,False
Tetranadon,False,False,False,False,True
Thunder Serpent Narwa,False,False,False,True,False
Tigrex,False,False,False,False,False
Tobi-Kadachi,False,False,False,True,False
Velkhana,False,False,True,False,False
Violet Mizutsune,False,True,False,False,False
Volvidon,False,False,False,False,False
Wind Serpent Ibushi,True,False,False,False,False
Zinogre,False,False,False,True,False
