monster,threat_level
Akantor,10
Ashen Lao-Shan Lung,7
Azure Rathalos,7
Basarios,4
Black Diablos,7
Black Gravios,8
Blangonga,5
Blue Yian Kut-Ku,3
Bulldrome,2
Cephadrome,3
Chameleos,8
Congalala,4
Copper Blangonga,6
Crimson Fatalis,10
Daimyo Hermitaur,4
Diablos,7
Emerald Congalala,6
Fatalis,10
Furious Rajang,9
Gendrome,3
Giadrome,3
Gold Rathian,9
Gravios,7
Green Plesioth,5
Gypceros,4
Hypnocatrice,4
Iodrome,3
Khezu,4
King Shakalaka,2
Kirin,6
Kushala Daora,8
Lao-Shan Lung,6
Lavasioth,6
Lunastra,9
Monoblos,6
Nargacuga,6
Pink Rathian,6
Plesioth,5
Plum D.Hermitaur,5
Purple Gypceros,4
Rajang,8
Rathalos,7
Rathian,6
Red Khezu,5
Rusted Kushala Daora,9
Scarred Yian Garuga,7
Shen Gaoren,8
Shogun Ceanataur,6
Silver Rathalos,8
Teostra,8
Terra S.Ceanataur,6
Tigrex,7
Ukanlos,10
Velocidrome,2
Vespoid Queen,3
White Fatalis,10
White Monoblos,6
Yama Tsukami,9
Yian Garuga,6
Yian Kut-Ku,3
