monster,threat_level
Akantor,10
Apex Deviljho,9
Apex Diablos,8
Apex Gravios,8
Apex Rajang,9
Apex Seregios,8
Apex Tidal Najarala,8
Apex Tigrex,8
Apex Zinogre,8
Ash Kecha Wacha,3
Azure Rathalos,7
Basarios,4
Berserk Tetsucabra,6
Black Diablos,7
Black Gravios,8
Blue Yian Kut-Ku,3
Brachydios,7
Brute Tigrex,8
Cephadrome,3
Chameleos,8
Chaotic Gore Magala,9
Congalala,4
Crimson Fatalis,10
Dah'ren Mohran,8
Daimyo Hermitaur,4
Dalamadur,10
Desert Seltas,3
Desert Seltas Queen,5
Deviljho,8
Diablos,7
Emerald Congalala,6
Fatalis,10
Furious Rajang,9
Gendrome,3
Gogmazios,9
Gold Rathian,8
Gore Magala,8
Gravios,7
Great Jaggi,2
Gypceros,4
Iodrome,3
Kecha Wacha,4
Khezu,4
Kirin,6
Kushala Daora,8
Lagombi,1
Molten Tigrex,8
Monoblos,6
Najarala,6
Nerscylla,5
Oroshi Kirin,6
Pink Rathian,6
Plum D.Hermitaur,5
Purple Gypceros,4
Raging Brachydios,9
Rajang,8
Rathalos,7
Rathian,6
Red Khezu,5
Ruby Basarios,4
Rusted Kushala Daora,8
Savage Deviljho,8
Seltas,3
Seltas Queen,5
Seregios,7
Shagaru Magala,10
Shah Dalamadur,10
Shrouded Nerscylla,4
Silver Rathalos,8
Stygian Zinogre,8
Teostra,8
Tetsucabra,4
Tidal Najarala,6
Tigerstripe Zamtrios,5
Tigrex,7
Ukanlos,10
Velocidrome,2
White Fatalis,10
White Monoblos,6
Yian Garuga,6
Yian Kut-Ku,3
Zamtrios,4
Zinogre,7
