monster,threat_level
Aknosom,2
Almudron,7
Amatsu,10
Anjanath,5
Apex Arzuros,8
Apex Diablos,8
Apex Mizutsune,9
Apex Rathalos,9
Apex Rathian,8
Apex Zinogre,8
Arzuros,3
Astalos,7
Aurora Somnacanth,6
Barioth,6
Barroth,4
Basarios,4
Bazelgeuse,8
Bishaten,4
Blood Orange Bishaten,6
Chameleos,8
Chaotic Gore Magala,9
Crimson Glow Valstrax,10
Daimyo Hermitaur,4
Diablos,7
Espinas,7
Flaming Espinas,9
Furious Rajang,9
Gaismagorm,10
Garangolm,6
Gold Rathian,8
Gore Magala,8
Goss Harag,7
Great Baggi,1
Great Izuchi,1
Great Wroggi,2
Jyuratodus,4
Khezu,4
Kulu-Ya-Ku,2
Kushala Daora,8
Lagombi,1
Lucent Nargacuga,8
Lunagaron,7
Magma Almudron,7
Magnamalo,7
Malzeno,8
Mizutsune,6
Nargacuga,6
Narwa the Allmother,10
Primordial Malzeno,10
Pukei-Pukei,4
Pyre Rakna-Kadaki,7
Rajang,8
Rakna-Kadaki,7
Rathalos,7
Rathian,6
Risen Chameleos,10
Risen Crimson Glow Valstrax,10
Risen Kushala Daora,10
Risen Shagaru Magala,10
Risen Teostra,10
Royal Ludroth,3
Scorned Magnamalo,10
Seething Bazelgeuse,8
Seregios,7
Shagaru Magala,10
Shogun Ceanataur,6
Silver Rathalos,8
Somnacanth,5
Teostra,8
Tetranadon,2
Thunder Serpent Narwa,10
Tigrex,7
Tobi-Kadachi,5
Velkhana,9
Violet Mizutsune,9
Volvidon,4
Wind Serpent Ibushi,9
Zinogre,7
