monster,threat_level
Acidic Glavenus,7
Alatreon,10
Ancient Leshen,9
Anjanath,5
Azure Rathalos,7
Banbaro,4
Barioth,6
Barroth,4
Bazelgeuse,8
Behemoth,10
Beotodus,3
Black Diablos,7
Blackveil Vaal Hazak,9
Brachydios,7
Brute Tigrex,8
Coral Pukei-Pukei,5
Deviljho,8
Diablos,7
Dodogama,4
Ebony Odogaron,6
Fatalis,10
Frostfang Barioth,7
Fulgur Anjanath,6
Furious Rajang,9
Glavenus,7
Gold Rathian,8
Great Girros,4
Great Jagras,3
Jyuratodus,4
Kirin,6
Kulu-Ya-Ku,2
Kulve Taroth,9
Kushala Daora,8
Lavasioth,6
Legiana,6
Leshen,8
Lunastra,9
Namielle,7
Nargacuga,6
Nergigante,9
Nightshade Paolumu,7
Odogaron,6
Paolumu,5
Pink Rathian,6
Pukei-Pukei,4
Radobaan,3
Raging Brachydios,9
Rajang,8
Rathalos,7
Rathian,6
Ruiner Nergigante,9
Safi'jiiva,10
Savage Deviljho,8
Scarred Yian Garuga,7
Seething Bazelgeuse,8
Shara Ishvalda,9
Shrieking Legiana,8
Silver Rathalos,8
Stygian Zinogre,8
Teostra,8
Tigrex,7
Tobi-Kadachi,5
Tzitzi-Ya-Ku,4
Uragaan,6
Vaal Hazak,7
Velkhana,9
Viper Tobi-Kadachi,6
Xeno'jiiva,10
Yian Garuga,6
Zinogre,7
Zorah Magdaros,8
