monster,threat_level
Agnaktor,5
Ahtal Ka,9
Akantor,10
Alatreon,10
Amatsu,10
Arzuros,3
Astalos,7
Azurebolt Astalos,8
Barioth,6
Barroth,4
Basarios,4
Blangonga,5
Bloodbath Diablos,9
Brachydios,7
Bulldrome,2
Cephadrome,3
Chameleos,8
Chaotic Gore Magala,9
Congalala,4
Crimson Fatalis,10
Crystalbeard Uragaan,8
Daimyo Hermitaur,4
Deadeye Yian Garuga,8
Deviljho,8
Diablos,7
Dreadking Rathalos,8
Dreadqueen Rathian,8
Drilltusk Tetsucabra,6
Duramboros,6
Elderfrost Gammoth,7
Fatalis,10
Furious Rajang,9
Gammoth,6
Gendrome,3
Giadrome,3
Glavenus,7
Gold Rathian,9
Gore Magala,8
Gravios,7
Great Maccao,3
Grimclaw Tigrex,8
Gypceros,4
Hellblade Glavenus,8
Iodrome,3
Kecha Wacha,4
Khezu,4
Kirin,6
Kushala Daora,8
Lagiacrus,7
Lagombi,1
Lao-Shan Lung,6
Lavasioth,6
Malfestio,7
Mizutsune,6
Najarala,6
Nakarkos,8
Nargacuga,6
Nerscylla,5
Nibelsnarf,4
Nightcloak Malfestio,7
Plesioth,5
Raging Brachydios,9
Rajang,8
Rathalos,7
Rathian,6
Redhelm Arzuros,5
Royal Ludroth,3
Rustrazor Ceanataur,7
Savage Deviljho,8
Seltas,3
Seltas Queen,5
Seregios,7
Shagaru Magala,10
Shogun Ceanataur,6
Silver Rathalos,8
Silverwind Nargacuga,8
Snowbaron Lagombi,6
Soulseer Mizutsune,8
Stonefist Hermitaur,7
Teostra,8
Tetsucabra,4
Thunderlord Zinogre,8
Tigrex,7
Ukanlos,10
Uragaan,6
Valstrax,9
Velocidrome,2
Volvidon,4
White Fatalis,10
Yian Garuga,6
Yian Kut-Ku,3
Zamtrios,4
Zinogre,7
