monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Akantor,,,,,,,3049.0
Apex Deviljho,4097.8,,,,,1803.0,
Apex Diablos,2838.7,,,,,2157.4,
Apex Gravios,3065.9,,,,,1049.3,
Apex Rajang,1631.2,,,,,729.6,
Apex Seregios,2246.5,,,,,1520.7,
Apex Tidal Najarala,5271.5,,,,,,
Apex Tigrex,2914.8,,,,,1388.2,
Apex Zinogre,,1895.0,,,1078.5,,
Ash Kecha Wacha,1329.2,,,,,779.8,
Azure Rathalos,2248.6,,,,,1140.6,
Basarios,1754.6,,,,,1154.9,
Berserk Tetsucabra,1582.2,,,,,632.9,
Black Diablos,2930.3,,,,,1865.7,
Black Gravios,3065.9,,,,,1946.3,
Blue Yian Kut-Ku,1195.7,,,,,449.3,
Brachydios,1932.7,,,,,1339.2,
Brute Tigrex,2169.4,,,,,1579.2,
Cephadrome,2097.0,,,,,889.1,
Chameleos,2811.3,,,,,1395.2,
Chaotic Gore Magala,2201.1,,,,,1549.6,
Congalala,1670.8,,,,,491.4,
Crimson Fatalis,,,,,,,4110.6
Dah'ren Mohran,,,,,,,11446.5
Daimyo Hermitaur,1451.2,,,,,450.4,
Dalamadur,,,,,,,44039.7
Desert Seltas,766.6,,,,,542.0,
Desert Seltas Queen,2291.9,,,,,1760.2,
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.3,
Emerald Congalala,1670.8,,,,,491.4,
Fatalis,,,,,,,4110.6
Furious Rajang,1631.2,,,,,729.6,
Gendrome,1037.4,,,,,615.0,
Gogmazios,,,,,,,4920.5
Gold Rathian,2303.8,,,,,1151.9,
Gore Magala,2201.1,,,,,1549.6,
Gravios,3065.9,,,,,1049.3,
Great Jaggi,1261.3,,,,,822.3,
Gypceros,1348.2,,,,,811.0,
Iodrome,1641.1,,,,,619.7,
Kecha Wacha,1019.0,,,,,779.8,
Khezu,1225.5,,,,,436.6,
Kirin,989.6,,,,,371.4,
Kushala Daora,2391.4,,,,,1261.6,
Lagombi,,1581.9,,,214.2,,
Molten Tigrex,,,,,,,2313.9
Monoblos,2918.8,,,,,1683.5,
Najarala,5068.8,,,,,3568.4,
Nerscylla,1126.6,,,,,651.6,
Oroshi Kirin,989.6,,,,,483.8,
Pink Rathian,2303.8,,,,,1151.9,
Plum D.Hermitaur,1346.8,,,,,247.5,
Purple Gypceros,1348.2,,,,,912.3,
Raging Brachydios,,,,,,,2130.5
Rajang,1631.2,,,,,729.6,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Red Khezu,1205.0,,,,,436.6,
Ruby Basarios,1783.1,,,,,1269.6,
Rusted Kushala Daora,2391.4,,,,,1261.6,
Savage Deviljho,4097.8,,,,,1803.0,
Seltas,769.9,,,,,542.0,
Seltas Queen,1791.5,,,,,1271.4,
Seregios,2246.5,,,,,1520.7,
Shagaru Magala,2187.1,,,,,1564.7,
Shah Dalamadur,,,,,,,44039.7
Shrouded Nerscylla,1188.7,,,,,389.6,
Silver Rathalos,2248.6,,,,,1140.6,
Stygian Zinogre,1887.0,,,,,1397.2,
Teostra,2610.0,,,,,1479.0,
Tetsucabra,1582.2,,,,,632.9,
Tidal Najarala,5271.5,,,,,,
Tigerstripe Zamtrios,1899.5,,,,,1458.8,
Tigrex,2914.8,,,,,1388.2,
Ukanlos,,,,,,,3188.0
Velocidrome,1736.4,,,,,590.7,
White Fatalis,,,,,,,4110.6
White Monoblos,2810.7,,,,,1849.2,
Yian Garuga,1744.5,,,,,887.3,
Yian Kut-Ku,1233.2,,,,,449.3,
Zamtrios,3039.2,,,,,1367.6,
Zinogre,2144.5,,,,,1217.4,
