monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Aknosom,1043.8,,,,,763.7,
Almudron,3368.1,,,,,2425.0,
Amatsu,,,,,,,3440.7
Anjanath,2008.7,,,,,1448.9,
Apex Arzuros,,751.9,,,681.9,,
Apex Diablos,2838.7,,,,,2157.4,
Apex Mizutsune,2506.3,,,,,2110.6,
Apex Rathalos,2305.8,,,,,1818.4,
Apex Rathian,2300.0,,,,,1936.8,
Apex Zinogre,,1895.0,,,1078.5,,
Arzuros,,854.5,,,501.3,,
Astalos,2194.1,,,,,1544.6,
Aurora Somnacanth,1900.3,,,,,1375.0,
Barioth,2580.9,,,,,1888.5,
Barroth,1744.3,,,,,1217.1,
Basarios,1754.6,,,,,1154.9,
Bazelgeuse,2410.5,,,,,1697.0,
Bishaten,1054.3,,,,,832.3,
Blood Orange Bishaten,1054.3,,,,,832.3,
Chameleos,2811.3,,,,,1395.2,
Chaotic Gore Magala,2165.9,,,,,1584.8,
Crimson Glow Valstrax,2551.2,,,,,1796.1,
Daimyo Hermitaur,1451.2,,,,,450.4,
Diablos,3030.0,,,,,1796.3,
Espinas,2477.2,,,,,836.9,
Flaming Espinas,2812.0,,,,,1489.7,
Furious Rajang,1188.2,,,,,869.4,
Gaismagorm,,,,,,,4807.5
Garangolm,1789.4,,,,,1529.3,
Gold Rathian,2303.8,,,,,1151.9,
Gore Magala,2201.1,,,,,1549.6,
Goss Harag,906.0,,,,,643.2,
Great Baggi,1458.0,,,,,839.1,
Great Izuchi,1343.9,,,,,946.1,
Great Wroggi,,1168.1,,,831.7,,
Jyuratodus,1885.9,,,,,1327.7,
Khezu,1225.5,,,,,436.6,
Kulu-Ya-Ku,1126.5,,,,,802.1,
Kushala Daora,2391.4,,,,,1261.6,
Lagombi,,1581.9,,,214.2,,
Lucent Nargacuga,,,,,,,2503.8
Lunagaron,1739.5,,,,,1272.8,
Magma Almudron,3341.2,,,,,2478.9,
Magnamalo,2276.1,,,,,1602.4,
Malzeno,2477.2,,,,,1843.5,
Mizutsune,2356.4,,,,,565.5,
Nargacuga,2355.1,,,,,1602.2,
Narwa the Allmother,,,,,,,3875.1
Primordial Malzeno,2435.5,,,,,1873.5,
Pukei-Pukei,1345.0,,,,,970.2,
Pyre Rakna-Kadaki,1071.2,,,,,771.2,
Rajang,1631.2,,,,,729.6,
Rakna-Kadaki,1071.2,,,,,771.2,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Risen Chameleos,2811.3,,,,,2249.1,
Risen Crimson Glow Valstrax,2408.3,,,,,1836.9,
Risen Kushala Daora,2388.5,,,,,1747.7,
Risen Shagaru Magala,2030.6,,,,,1562.0,
Risen Teostra,2201.9,,,,,1736.4,
Royal Ludroth,1931.5,,,,,1359.8,
Scorned Magnamalo,2343.5,,,,,1802.7,
Seething Bazelgeuse,,2410.5,,,1697.0,,
Seregios,2246.5,,,,,1520.7,
Shagaru Magala,2187.1,,,,,1564.7,
Shogun Ceanataur,1294.5,,,,,586.0,
Silver Rathalos,2248.6,,,,,1140.6,
Somnacanth,1900.0,,,,,1390.5,
Teostra,2610.0,,,,,1479.0,
Tetranadon,1206.2,,,,,849.2,
Thunder Serpent Narwa,,,,,,,3875.1
Tigrex,2914.8,,,,,1388.2,
Tobi-Kadachi,1573.6,,,,,1157.5,
Velkhana,3245.1,,,,,2336.4,
Violet Mizutsune,2269.9,,,,,1738.0,
Volvidon,,892.0,,,613.1,,
Wind Serpent Ibushi,,,,,,,3068.6
Zinogre,2144.49,,,,,1217.4,
