monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Acidic Glavenus,,2846.9,,,2135.2,,2609.7
Alatreon,,,,,,,2969.0
Ancient Leshen,,,,,,,633.8
Anjanath,2008.7,,,,,1448.9,
Azure Rathalos,2248.6,,,,,1140.6,
Banbaro,,2957.9,,,2164.4,,2765.6
Barioth,2580.9,,,,,1888.5,
Barroth,1744.3,,,,,1217.1,
Bazelgeuse,2410.5,,,,,1697.0,
Behemoth,,,,,,,3423.7
Beotodus,2044.3,,,,,1945.8,
Black Diablos,2930.3,,,,,1865.7,
Blackveil Vaal Hazak,,2577.3,,,1885.9,,2409.7
Brachydios,1932.7,,,,,1339.2,
Brute Tigrex,2169.4,,,,,1579.2,
Coral Pukei-Pukei,,1322.9,,,992.2,,1212.7
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.3,
Dodogama,2000.0,,,,,977.8,
Ebony Odogaron,1722.0,,,,,1249.9,
Fatalis,,,,,,,4137.2
Frostfang Barioth,,2580.9,,,1888.5,,2413.1
Fulgur Anjanath,2008.7,,,,,1481.8,
Furious Rajang,1188.2,,,,,869.4,
Glavenus,3174.4,,,,,2234.8,
Gold Rathian,2303.8,,,,,1151.9,
Great Girros,1316.4,,,,,937.3,
Great Jagras,1997.4,,,,,277.4,
Jyuratodus,1885.9,,,,,1327.7,
Kirin,989.6,,,,,371.4,
Kulu-Ya-Ku,1126.55,,,,,802.10,
Kulve Taroth,,,,,,,4573.2
Kushala Daora,2391.4,,,,,1261.6,
Lavasioth,3476.6,,,,,1581.6,
Legiana,2124.7,,,,,1495.8,
Leshen,,,,,,,549.7
Lunastra,2575.2,,,,,1444.2,
Namielle,2560.3,,,,,1822.9,
Nargacuga,2355.1,,,,,1602.2,
Nergigante,2310.1,,,,,1626.3,
Nightshade Paolumu,1406.3,,,,,1006.2,
Odogaron,1735.9,,,,,541.6,
Paolumu,1429.2,,,,,1006.2,
Pink Rathian,2303.8,,,,,1151.9,
Pukei-Pukei,1345.0,,,,,970.2,
Radobaan,2182.2,,,,,1587.0,
Raging Brachydios,,,,,,,2282.8
Rajang,1631.2,,,,,729.6,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Ruiner Nergigante,2310.2,,,,,1663.3,
Safi'jiiva,,,,,,,4799.8
Savage Deviljho,4097.8,,,,,1803.0,
Scarred Yian Garuga,1744.5,,,,,887.3,
Seething Bazelgeuse,,2410.5,,,1697.0,,
Shara Ishvalda,,,,,,,2910.9
Shrieking Legiana,2253.0,,,,,1529.8,
Silver Rathalos,2248.6,,,,,1140.6,
Stygian Zinogre,1887.0,,,,,1397.2,
Teostra,2610.0,,,,,1479.0,
Tigrex,2914.8,,,,,1388.2,
Tobi-Kadachi,1573.6,,,,,1157.5,
Tzitzi-Ya-Ku,1117.5,,,,,786.8,
Uragaan,3344.5,,,,,410.1,
Vaal Hazak,2598.3,,,,,1844.0,
Velkhana,3245.1,,,,,2336.4,
Viper Tobi-Kadachi,,1560.6,,,1170.5,,1430.6
Xeno'jiiva,,,,,,,4509.1
Yian Garuga,1744.5,,,,,887.3,
Zinogre,2144.5,,,,,1217.4,
Zorah Magdaros,,,,,,,25764.6
