monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Ajarakan,1455.4,,,,,1047.9,
Arkveld,2083.2,,,,,1483.2,
Balahara,2371.6,,,,,1702.2,
Blangonga,1221.2,,,,,791.1,
Chatacabra,612.9,,,,,443.5,
Congalala,1670.8,,,,,491.4,
Doshaguma,1807.6,,,,,1237.5,
Gore Magala,2201.1,,,,,1549.6,
Gravios,3065.9,,,,,1049.3,
Guardian Arkveld,,,,,,1666.5,
Guardian Doshaguma,1724.2,,,,,1251.4,
Guardian Ebony Odogaron,1708.2,,,,,,
Guardian Fulgur Anjanath,2058.1,,,,,1465.3,
Guardian Rathalos,2130.3,,,,,1533.8,
Gypceros,1348.2,,,,,811.0,
Hirabami,1908.2,,,,,1476.8,
Jin Dahaad,4560.9,,,,,,
Lala Barina,866.4,,,,,621.9,
Mizutsune,2356.4,,,,,565.5,
Nerscylla,1126.6,,,,,651.6,
Nu Udra,2365.9,,,,,1884.3,
Quematrice,1542.8,,,,,1107.3,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Rey Dau,2571.3,,,,,1851.4,
Rompopolo,1497.3,,,,,1066.0,
Uth Duna,3426.2,,,,,2681.4,
Xu Wu,1745.4,,,,,1242.7,
Yian Kut-Ku,1233.2,,,,,449.3,
Zoh Shia,4623.6,,,,,,
