monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Agnaktor,3421.6,,,,,2416.1,
Ahtal Ka,,,,,,,1504.1
Akantor,,,,,,,3049.0
Alatreon,,,,,,,3105.0
Amatsu,,,,,,,2969.0
Arzuros,,854.5,,,501.3,,
Astalos,2194.1,,,,,1544.6,
Azurebolt Astalos,2441.36,,,,,2108.45,
Barioth,2580.9,,,,,1888.5,
Barroth,1744.3,,,,,1217.1,
Basarios,1754.6,,,,,1154.9,
Blangonga,1221.2,,,,,791.1,
Bloodbath Diablos,2770.8,,,,,2288.9,
Brachydios,1932.7,,,,,1339.2,
Bulldrome,1188.6,,,,,509.3,
Cephadrome,2097.0,,,,,889.1,
Chameleos,2811.3,,,,,1395.2,
Chaotic Gore Magala,2165.9,,,,,1584.8,
Congalala,1670.8,,,,,491.4,
Crimson Fatalis,,,,,,,4110.6
Crystalbeard Uragaan,2920.2,,,,,2548.6,
Daimyo Hermitaur,1451.2,,,,,450.4,
Deadeye Yian Garuga,1482.9,,,,,1150.7,
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.3,
Dreadking Rathalos,2263.6,,,,,1954.9,
Dreadqueen Rathian,2261.2,,,,,1973.5,
Drilltusk Tetsucabra,1649.1,,,,,1437.3,
Duramboros,,2611.5,,,1317.8,,
Elderfrost Gammoth,,2594.7,,,2276.1,,
Fatalis,,,,,,,4110.6
Furious Rajang,1188.2,,,,,869.4,
Gammoth,,2617.5,,,455.2,,
Gendrome,1037.4,,,,,615.0,
Giadrome,1048.8,,,,,649.8,
Glavenus,3174.4,,,,,2234.8,
Gold Rathian,2303.8,,,,,1151.9,
Gore Magala,2201.1,,,,,1549.6,
Gravios,3065.9,,,,,1049.3,
Great Maccao,1275.7,,,,,701.6,
Grimclaw Tigrex,2333.2,,,,,2036.3,
Gypceros,1348.2,,,,,811.0,
Hellblade Glavenus,3409.0,,,,,2727.2,
Iodrome,1641.1,,,,,619.7,
Kecha Wacha,1019.0,,,,,779.8,
Khezu,1225.5,,,,,436.6,
Kirin,989.6,,,,,371.4,
Kushala Daora,2391.4,,,,,1261.6,
Lagiacrus,3310.6,,,,,2330.7,
Lagombi,,1581.9,,,214.2,,
Lao-Shan Lung,,,,,,,6960.0
Lavasioth,3476.6,,,,,1581.6,
Malfestio,758.5,,,,,305.8,
Mizutsune,2356.4,,,,,565.5,
Najarala,5068.75,,,,,3568.40,
Nakarkos,,,,,,,3547.6
Nargacuga,2355.1,,,,,1602.2,
Nerscylla,1126.6,,,,,651.6,
Nibelsnarf,,4693.1,,,1808.1,,
Nightcloak Malfestio,901.6,,,,711.0,,733.0
Plesioth,3877.9,,,,,1991.1,
Raging Brachydios,,,,,,,2282.8
Rajang,1631.2,,,,,729.6,
Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Redhelm Arzuros,904.6,,,,,781.2,
Royal Ludroth,1931.5,,,,,1359.8,
Rustrazor Ceanataur,784.8,,,,,660.9,688.4
Savage Deviljho,4097.8,,,,,1803.0,
Seltas,769.9,,,,,542.0,
Seltas Queen,1791.5,,,,,1271.4,
Seregios,2246.5,,,,,1520.7,
Shagaru Magala,2187.1,,,,,1564.7,
Shogun Ceanataur,1294.5,,,,,586.0,
Silver Rathalos,2248.6,,,,,1140.6,
Silverwind Nargacuga,2127.9,,,,,1617.2,
Snowbaron Lagombi,799.4,,,,,607.5,
Soulseer Mizutsune,2792.8,,,,,,
Stonefist Hermitaur,1793.7,,,,,1449.9,
Teostra,2610.0,,,,,1479.0,
Tetsucabra,1582.2,,,,,632.9,
Thunderlord Zinogre,1918.1,,,,,1488.4,
Tigrex,2914.8,,,,,1388.2,
Ukanlos,,,,,,,3188.0
Uragaan,3344.5,,,,,410.1,
Valstrax,2698.2,,,,,2267.0,
Velocidrome,1736.4,,,,,590.7,
Volvidon,,892.0,,,613.1,,
White Fatalis,,,,,,,4110.6
Yian Garuga,1744.5,,,,,887.3,
Yian Kut-Ku,1233.2,,,,,449.3,
Zamtrios,3039.2,,,,,1367.6,
Zinogre,2144.5,,,,,1217.4,
