monster,type
Akantor,Flying Wyvern
Ashen Lao-Shan Lung,Elder Dragon
Azure Rathalos,Flying Wyvern
Basarios,Flying Wyvern
Black Diablos,Flying Wyvern
Black Gravios,Flying Wyvern
Blangonga,Pelagus
Blue Yian Kut-Ku,Bird Wyvern
Bulldrome,Pelagus
Cephadrome,Piscine Wyvern
Chameleos,Elder Dragon
Congalala,Pelagus
Copper Blangonga,Pelagus
Crimson Fatalis,Elder Dragon
Daimyo Hermitaur,Carapaceon
Diablos,Flying Wyvern
Emerald Congalala,Pelagus
Fatalis,Elder Dragon
Furious Rajang,Pelagus
Gendrome,Bird Wyvern
Giadrome,Bird Wyvern
Gold Rathian,Flying Wyvern
Gravios,Flying Wyvern
Green Plesioth,Piscine Wyvern
Gypceros,Bird Wyvern
Hypnocatrice,Bird Wyvern
Iodrome,Bird Wyvern
Khezu,Flying Wyvern
King Shakalaka,Lynian
Kirin,Elder Dragon
Kushala Daora,Elder Dragon
Lao-Shan Lung,Elder Dragon
Lavasioth,Piscine Wyvern
Lunastra,Elder Dragon
Monoblos,Flying Wyvern
Nargacuga,Flying Wyvern
Pink Rathian,Flying Wyvern
Plesioth,Piscine Wyvern
Plum D.Hermitaur,Carapaceon
Purple Gypceros,Bird Wyvern
Rajang,Pelagus
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Red Khezu,Flying Wyvern
Rusted Kushala Daora,Elder Dragon
Scarred Yian Garuga,Bird Wyvern
Shen Gaoren,Carapaceon
Shogun Ceanataur,Carapaceon
Silver Rathalos,Flying Wyvern
Teostra,Elder Dragon
Terra S.Ceanataur,Carapaceon
Tigrex,Flying Wyvern
Ukanlos,Flying Wyvern
Velocidrome,Bird Wyvern
Vespoid Queen,Neopteron
White Fatalis,Elder Dragon
White Monoblos,Flying Wyvern
Yama Tsukami,Elder Dragon
Yian Garuga,Bird Wyvern
Yian Kut-Ku,Bird Wyvern
