monster,type
Abyssal Lagiacrus,Leviathan
Agnaktor,Leviathan
Alatreon,Elder Dragon
Arzuros,Fanged Beast
Azure Rathalos,Flying Wyvern
Baleful Gigginox,Flying Wyvern
Barioth,Flying Wyvern
Barroth,Brute Wyvern
Black Diablos,Flying Wyvern
Brachydios,Brute Wyvern
Ceadeus,Elder Dragon
Crimson Qurupeco,Bird Wyvern
Deviljho,Brute Wyvern
Diablos,Flying Wyvern
Dire Miralis,Elder Dragon
Duramboros,Brute Wyvern
Gigginox,Flying Wyvern
Glacial Agnaktor,Leviathan
Gobul,Leviathan
Gold Rathian,Flying Wyvern
Goldbeard Ceadeus,Elder Dragon
Great Baggi,Bird Wyvern
Great Jaggi,Bird Wyvern
Great Wroggi,Bird Wyvern
Green Nargacuga,Flying Wyvern
Green Plesioth,Piscine Wyvern
Hallowed Jhen Mohran,Elder Dragon
Ivory Lagiacrus,Leviathan
Jade Barroth,Brute Wyvern
Jhen Mohran,Elder Dragon
Lagiacrus,Leviathan
Lagombi,Fanged Beast
Lucent Nargacuga,Flying Wyvern
Nargacuga,Flying Wyvern
Nibelsnarf,Leviathan
Pink Rathian,Flying Wyvern
Plesioth,Piscine Wyvern
Purple Ludroth,Leviathan
Qurupeco,Bird Wyvern
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Royal Ludroth,Leviathan
Rust Duramboros,Brute Wyvern
Sand Barioth,Flying Wyvern
Savage Deviljho,Brute Wyvern
Silver Rathalos,Flying Wyvern
Steel Uragaan,Brute Wyvern
Stygian Zinogre,Fanged Wyvern
Uragaan,Brute Wyvern
Volvidon,Fanged Beast
Zinogre,Fanged Wyvern
