monster,type
Aknosom,Bird Wyvern
Almudron,Leviathan
Amatsu,Elder Dragon
Anjanath,Brute Wyvern
Apex Arzuros,Fanged Beast
Apex Diablos,Flying Wyvern
Apex Mizutsune,Leviathan
Apex Rathalos,Flying Wyvern
Apex Rathian,Flying Wyvern
Apex Zinogre,Fanged Wyvern
Arzuros,Fanged Beast
Astalos,Flying Wyvern
Aurora Somnacanth,Leviathan
Barioth,Flying Wyvern
Barroth,Brute Wyvern
Basarios,Flying Wyvern
Bazelgeuse,Flying Wyvern
Bishaten,Fanged Beast
Blood Orange Bishaten,Fanged Beast
Chameleos,Elder Dragon
Chaotic Gore Magala,???
Crimson Glow Valstrax,Elder Dragon
Daimyo Hermitaur,Carapaceon
Diablos,Flying Wyvern
Espinas,Flying Wyvern
Flaming Espinas,Flying Wyvern
Furious Rajang,Fanged Beast
Gaismagorm,Elder Dragon
Garangolm,Fanged Beast
Gold Rathian,Flying Wyvern
Gore Magala,Demi Elder
Goss Harag,Fanged Beast
Great Baggi,Bird Wyvern
Great Izuchi,Bird Wyvern
Great Wroggi,Bird Wyvern
Jyuratodus,Piscine Wyvern
Khezu,Flying Wyvern
Kulu-Ya-Ku,Bird Wyvern
Kushala Daora,Elder Dragon
Lagombi,Fanged Beast
Lucent Nargacuga,Flying Wyvern
Lunagaron,Fanged Wyvern
Magma Almudron,Leviathan
Magnamalo,Fanged Wyvern
Malzeno,Elder Dragon
Mizutsune,Leviathan
Nargacuga,Flying Wyvern
Narwa the Allmother,Elder Dragon
Primordial Malzeno,Elder Dragon
Pukei-Pukei,Bird Wyvern
Pyre Rakna-Kadaki,Temnoceran
Rajang,Fanged Beast
Rakna-Kadaki,Temnoceran
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Risen Chameleos,Elder Dragon
Risen Crimson Glow Valstrax,Elder Dragon
Risen Kushala Daora,Elder Dragon
Risen Shagaru Magala,Elder Dragon
Risen Teostra,Elder Dragon
Royal Ludroth,Leviathan
Scorned Magnamalo,Fanged Wyvern
Seething Bazelgeuse,Flying Wyvern
Seregios,Flying Wyvern
Shagaru Magala,Elder Dragon
Shogun Ceanataur,Carapaceon
Silver Rathalos,Flying Wyvern
Somnacanth,Leviathan
Teostra,Elder Dragon
Tetranadon,Amphibian
Thunder Serpent Narwa,Elder Dragon
Tigrex,Flying Wyvern
Tobi-Kadachi,Fanged Wyvern
Velkhana,Elder Dragon
Violet Mizutsune,Leviathan
Volvidon,Fanged Beast
Wind Serpent Ibushi,Elder Dragon
Zinogre,Fanged Wyvern
