monster,type
Ajarakan,Fanged Beast
Arkveld,Flying Wyvern
Balahara,Leviathan
Blangonga,Fanged Beast
Chatacabra,Amphibian
Congalala,Fanged Beast
Doshaguma,Fanged Beast
Gore Magala,Demi Elder
Gravios,Flying Wyvern
Guardian Arkveld,Construct
Guardian Doshaguma,Construct
Guardian Ebony Odogaron,Construct
Guardian Fulgur Anjanath,Construct
Guardian Rathalos,Construct
Gypceros,Bird Wyvern
Hirabami,Leviathan
Jin Dahaad,Leviathan
Lala Barina,Temnoceran
Mizutsune,Leviathan
Nerscylla,Temnoceran
Nu Udra,Cephalopod
Quematrice,Brute Wyvern
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Rey Dau,Flying Wyvern
Rompopolo,Brute Wyvern
Uth Duna,Leviathan
Xu Wu,Cephalopod
Yian Kut-Ku,Bird Wyvern
Zoh Shia,Construct
