monster,type
Agnaktor,Leviathan
Ahtal Ka,Neopteron
Akantor,Flying Wyvern
Alatreon,Elder Dragon
Amatsu,Elder Dragon
Arzuros,Fanged Beast
Astalos,Flying Wyvern
Azurebolt Astalos,Flying Wyvern
Barioth,Flying Wyvern
Barroth,Brute Wyvern
Basarios,Flying Wyvern
Blangonga,Fanged Beast
Bloodbath Diablos,Flying Wyvern
Brachydios,Brute Wyvern
Bulldrome,Fanged Beast
Cephadrome,Piscine Wyvern
Chameleos,Elder Dragon
Chaotic Gore Magala,???
Congalala,Fanged Beast
Crimson Fatalis,Elder Dragon
Crystalbeard Uragaan,Brute Wyvern
Daimyo Hermitaur,Carapaceon
Deadeye Yian Garuga,Leviathan
Deviljho,Brute Wyvern
Diablos,Flying Wyvern
Dreadking Rathalos,Flying Wyvern
Dreadqueen Rathian,Flying Wyvern
Drilltusk Tetsucabra,Amphibian
Duramboros,Brute Wyvern
Elderfrost Gammoth,Fanged Beast
Fatalis,Elder Dragon
Furious Rajang,Fanged Beast
Gammoth,Fanged Beast
Gendrome,Bird Wyvern
Giadrome,Bird Wyvern
Glavenus,Brute Wyvern
Gold Rathian,Flying Wyvern
Gore Magala,Demi Elder
Gravios,Flying Wyvern
Great Maccao,Bird Wyvern
Grimclaw Tigrex,Flying Wyvern
Gypceros,Bird Wyvern
Hellblade Glavenus,Brute Wyvern
Iodrome,Bird Wyvern
Kecha Wacha,Fanged Beast
Khezu,Flying Wyvern
Kirin,Elder Dragon
Kushala Daora,Elder Dragon
Lagiacrus,Leviathan
Lagombi,Fanged Beast
Lao-Shan Lung,Elder Dragon
Lavasioth,Piscine Wyvern
Malfestio,Bird Wyvern
Mizutsune,Leviathan
Najarala,Snake Wyvern
Nakarkos,Elder Dragon
Nargacuga,Flying Wyvern
Nerscylla,Temnoceran
Nibelsnarf,Leviathan
Nightcloak Malfestio,Bird Wyvern
Plesioth,Piscine Wyvern
Raging Brachydios,Brute Wyvern
Rajang,Fanged Beast
Rathalos,Flying Wyvern
Rathian,Flying Wyvern
Redhelm Arzuros,Fanged Beast
Royal Ludroth,Leviathan
Rustrazor Ceanataur,Carapaceon
Savage Deviljho,Brute Wyvern
Seltas,Neopteron
Seltas Queen,Neopteron
Seregios,Flying Wyvern
Shagaru Magala,Elder Dragon
Shogun Ceanataur,Carapaceon
Silver Rathalos,Flying Wyvern
Silverwind Nargacuga,Flying Wyvern
Snowbaron Lagombi,Fanged Beast
Soulseer Mizutsune,Leviathan
Stonefist Hermitaur,Carapaceon
Teostra,Elder Dragon
Tetsucabra,Amphibian
Thunderlord Zinogre,Fanged Wyvern
Tigrex,Flying Wyvern
Ukanlos,Flying Wyvern
Uragaan,Brute Wyvern
Valstrax,Elder Dragon
Velocidrome,Bird Wyvern
Volvidon,Fanged Beast
White Fatalis,Elder Dragon
Yian Garuga,Bird Wyvern
Yian Kut-Ku,Bird Wyvern
Zamtrios,Amphibian
Zinogre,Fanged Wyvern
