monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Akantor,25,140,275,0,275
Ashen Lao-Shan Lung,190,40,120,40,250
Azure Rathalos,10,80,80,110,125
Basarios,95,140,80,80,151
Black Diablos,20,90,120,180,120
Black Gravios,10,280,40,0,30
Blangonga,95,25,75,0,0
Blue Yian Kut-Ku,65,185,155,155,20
Bulldrome,50,50,120,40,10
Cephadrome,5,82,95,132,35
Chameleos,335,0,225,20,310
Congalala,186,90,90,95,0
Copper Blangonga,0,75,25,95,0
Crimson Fatalis,225,90,90,90,330
Daimyo Hermitaur,295,75,280,150,0
Diablos,20,90,120,180,120
Emerald Congalala,45,100,90,206,0
Fatalis,135,45,45,90,240
Furious Rajang,5,25,0,95,0
Gendrome,35,10,40,50,10
Giadrome,60,30,30,10,10
Gold Rathian,10,60,105,60,140
Gravios,15,235,40,75,205
Green Plesioth,170,0,175,35,35
Gypceros,200,90,0,90,70
Hypnocatrice,100,45,75,65,35
Iodrome,20,30,30,10,10
Khezu,185,35,0,35,35
King Shakalaka,5,10,10,20,10
Kirin,30,30,0,25,15
Kushala Daora,115,40,320,0,305
Lao-Shan Lung,190,40,120,40,250
Lavasioth,0,160,70,70,35
Lunastra,0,140,80,240,280
Monoblos,65,0,175,150,0
Nargacuga,205,35,185,40,85
Pink Rathian,10,60,105,50,140
Plesioth,170,0,175,35,35
Plum D.Hermitaur,150,75,210,325,0
Purple Gypceros,200,90,0,90,70
Rajang,5,25,0,95,0
Rathalos,15,135,80,205,125
Rathian,10,60,105,60,140
Red Khezu,35,185,0,35,35
Rusted Kushala Daora,15,350,40,0,280
Scarred Yian Garuga,25,225,25,105,80
Shen Gaoren,135,35,110,35,200
Shogun Ceanataur,65,105,240,130,0
Silver Rathalos,5,135,135,50,0
Teostra,0,240,80,140,280
Terra S.Ceanataur,65,105,240,130,0
Tigrex,30,160,300,80,180
Ukanlos,360,70,275,0,175
Velocidrome,50,50,50,60,10
Vespoid Queen,60,40,10,40,0
White Fatalis,225,90,90,90,330
White Monoblos,65,0,175,150,0
Yama Tsukami,5,10,0,205,205
Yian Garuga,25,225,25,105,80
Yian Kut-Ku,65,185,155,155,20
