monster,dragon_weak,fire_weak,ice_weak,thunder_weak,water_weak
Akantor,310,10,50,280,130
Apex Deviljho,215,110,85,215,110
Apex Diablos,90,20,135,98,90
Apex Gravios,230,20,95,60,330
Apex Rajang,0,5,140,0,40
Apex Seregios,40,15,80,135,65
Apex Tidal Najarala,25,170,0,125,25
Apex Tigrex,140,30,80,230,135
Apex Zinogre,85,125,230,0,165
Ash Kecha Wacha,0,0,50,50,100
Azure Rathalos,290,15,160,185,135
Basarios,166,105,90,90,155
Berserk Tetsucabra,20,0,170,145,60
Black Diablos,90,20,135,98,90
Black Gravios,50,20,0,55,280
Blue Yian Kut-Ku,20,45,90,125,145
Brachydios,55,0,245,85,225
Brute Tigrex,120,10,102,146,185
Cephadrome,0,0,0,100,0
Chameleos,270,345,10,205,0
Chaotic Gore Magala,0,0,0,0,0
Congalala,0,155,95,80,80
Crimson Fatalis,140,40,120,40,80
Dah'ren Mohran,127,0,0,142,41
Daimyo Hermitaur,0,295,150,275,75
Dalamadur,345,85,230,230,120
Desert Seltas,0,40,80,55,40
Desert Seltas Queen,0,0,105,30,30
Deviljho,215,110,85,215,110
Diablos,90,20,135,98,90
Emerald Congalala,0,50,166,90,115
Fatalis,210,105,70,35,35
Furious Rajang,0,5,140,0,40
Gendrome,15,35,70,55,35
Gogmazios,580,350,45,120,30
Gold Rathian,0,10,65,165,115
Gore Magala,250,355,90,215,0
Gravios,230,20,95,60,330
Great Jaggi,10,60,40,40,40
Gypceros,70,130,90,0,45
Iodrome,15,35,20,55,55
Kecha Wacha,0,115,45,65,0
Khezu,30,135,30,0,30
Kirin,40,70,60,0,70
Kushala Daora,355,135,0,355,50
Lagombi,0,100,0,55,0
Molten Tigrex,115,0,190,55,265
Monoblos,0,70,130,170,0
Najarala,25,40,190,65,115
Nerscylla,0,150,50,170,0
Oroshi Kirin,40,70,0,60,70
Pink Rathian,140,5,55,105,55
Plum D.Hermitaur,0,150,305,200,75
Purple Gypceros,70,120,90,0,45
Raging Brachydios,55,0,245,85,225
Rajang,0,5,140,0,40
Rathalos,130,15,55,110,55
Rathian,145,15,60,105,60
Red Khezu,30,30,30,0,135
Ruby Basarios,50,100,173,90,128
Rusted Kushala Daora,325,20,0,60,385
Savage Deviljho,200,200,200,320,200
Seltas,0,80,40,110,40
Seltas Queen,0,100,85,40,0
Seregios,40,15,80,135,65
Shagaru Magala,165,145,45,90,0
Shah Dalamadur,440,115,300,300,165
Shrouded Nerscylla,0,75,135,35,0
Silver Rathalos,0,10,85,135,175
Stygian Zinogre,0,95,125,290,200
Teostra,150,0,150,80,145
Tetsucabra,35,0,60,140,160
Tidal Najarala,25,170,0,125,25
Tigerstripe Zamtrios,40,25,145,100,0
Tigrex,140,30,80,230,135
Ukanlos,185,265,0,220,70
Velocidrome,15,55,70,55,55
White Fatalis,140,120,80,40,40
White Monoblos,0,70,130,170,0
Yian Garuga,65,25,85,25,145
Yian Kut-Ku,20,45,150,125,100
Zamtrios,70,210,0,215,0
Zinogre,85,125,230,0,165
