monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Aknosom,0,150,140,70,0
Almudron,175,0,60,145,50
Amatsu,105,0,25,50,115
Anjanath,0,155,65,110,35
Apex Arzuros,155,0,80,129,0
Apex Diablos,0,133,85,200,125
Apex Mizutsune,51,0,150,65,131
Apex Rathalos,0,45,80,45,150
Apex Rathian,0,35,65,35,125
Apex Zinogre,55,70,0,100,40
Arzuros,143,30,108,110,0
Astalos,80,127,0,195,75
Aurora Somnacanth,110,0,55,0,0
Barioth,140,30,100,0,70
Barroth,130,0,0,75,35
Basarios,176,239,150,150,282
Bazelgeuse,0,25,70,55,55
Bishaten,55,0,30,90,0
Blood Orange Bishaten,0,90,55,30,0
Chameleos,145,5,70,0,105
Chaotic Gore Magala,171,0,100,50,150
Crimson Glow Valstrax,185,195,190,195,0
Daimyo Hermitaur,200,45,175,90,0
Diablos,0,170,80,210,170
Espinas,0,45,15,75,45
Flaming Espinas,0,75,50,15,45
Furious Rajang,0,35,0,130,0
Gaismagorm,50,0,115,0,190
Garangolm,48,0,60,30,0
Gold Rathian,5,150,195,115,0
Gore Magala,125,0,85,45,80
Goss Harag,120,0,55,0,0
Great Baggi,80,40,40,0,0
Great Izuchi,55,75,100,55,25
Great Wroggi,0,40,10,80,0
Jyuratodus,55,0,120,35,35
Khezu,152,35,0,35,35
Kulu-Ya-Ku,80,120,80,80,80
Kushala Daora,80,40,135,0,80
Lagombi,100,0,55,0,0
Lucent Nargacuga,0,80,0,215,125
Lunagaron,90,0,60,0,40
Magma Almudron,0,293,100,225,80
Magnamalo,0,120,90,40,0
Malzeno,115,0,0,75,190
Mizutsune,51,0,150,65,131
Nargacuga,145,20,250,70,85
Narwa the Allmother,5,15,0,40,75
Primordial Malzeno,75,0,0,45,120
Pukei-Pukei,55,0,160,90,40
Pyre Rakna-Kadaki,0,150,0,75,0
Rajang,0,35,0,130,0
Rakna-Kadaki,0,45,0,110,0
Rathalos,0,45,80,45,150
Rathian,0,35,65,35,125
Risen Chameleos,145,5,70,0,105
Risen Crimson Glow Valstrax,185,195,190,195,0
Risen Kushala Daora,80,40,135,0,80
Risen Shagaru Magala,125,0,85,45,155
Risen Teostra,0,110,35,85,35
Royal Ludroth,185,0,65,50,10
Scorned Magnamalo,0,105,80,35,0
Seething Bazelgeuse,0,30,70,100,45
Seregios,0,50,135,75,40
Shagaru Magala,125,0,85,45,155
Shogun Ceanataur,120,45,150,85,0
Silver Rathalos,0,200,160,100,0
Somnacanth,80,0,165,0,0
Teostra,0,110,35,85,35
Tetranadon,90,0,165,50,30
Thunder Serpent Narwa,5,15,0,45,80
Tigrex,10,55,110,25,80
Tobi-Kadachi,80,145,0,70,35
Velkhana,185,65,65,5,95
Violet Mizutsune,0,81,120,160,37
Volvidon,0,105,55,75,0
Wind Serpent Ibushi,205,110,60,95,250
Zinogre,55,70,0,100,40
