monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Acidic Glavenus (crystallized),180,65,110,70,80
Acidic Glavenus (not crystallized),170,70,105,75,85
Alatreon (on dragon),46,36,36,46,65
Alatreon (on fire),0,75,22,104,7
Alatreon (on ice),104,22,75,0,7
Ancient Leshen,85,0,45,25,45
Anjanath,0,290,125,195,65
Azure Rathalos,0,70,70,125,235
Banbaro,60,0,25,0,100
Barioth,145,30,100,0,70
Barroth (covered in mud),0,625,0,125,75
Barroth (not covered in mud),185,0,0,95,55
Bazelgeuse,0,45,105,75,75
Behemoth,80,145,110,120,165
Beotodus,160,30,65,0,0
Black Diablos,0,255,110,305,0
Blackveil Vaal Hazak,230,80,115,165,220
Brachydios,0,85,45,125,25
Brute Tigrex,5,110,88,56,75
Coral Pukei-Pukei,30,0,50,115,30
Deviljho,145,145,275,115,275
Diablos,0,280,120,335,280
Dodogama,0,190,345,190,105
Ebony Odogaron,185,275,185,185,60
Fatalis,97,45,45,69,134
Frostfang Barioth,145,30,100,0,70
Fulgur Anjanath (charged),65,165,0,105,35
Fulgur Anjanath (not charged),80,135,0,185,40
Furious Rajang,0,40,0,100,0
Glavenus,0,220,80,118,110
Gold Rathian,0,60,120,60,240
Great Girros,50,185,0,95,35
Great Jagras,275,0,155,100,60
Jyuratodus (covered in mud),10,200,25,50,50
Jyuratodus (not covered in mud),55,0,120,35,35
Kirin,125,90,0,90,35
Kulu-Ya-Ku,95,140,95,95,95
Kulve Taroth (covered in gold),0,40,40,45,30
Kulve Taroth (not covered in gold),40,80,80,90,100
Kushala Daora,110,55,190,0,110
Lavasioth (not hardened),50,295,95,95,55
Lavasioth (when hardened),170,100,0,0,45
Legiana,120,70,170,0,55
Leshen,85,0,45,25,45
Lunastra,0,52,52,310,230
Namielle,255,5,0,140,210
Nargacuga,90,0,160,45,45
Nergigante,160,135,340,120,210
Nightshade Paolumu,80,130,45,45,0
Odogaron,45,80,135,245,0
Paolumu,180,0,120,75,75
Pink Rathian,0,60,120,60,240
Pukei-Pukei,85,0,235,135,60
Radobaan,85,85,85,95,130
Raging Brachydios,0,125,55,155,30
Rajang,0,35,0,120,0
Rathalos,0,75,125,75,225
Rathian,0,70,130,70,250
Ruiner Nergigante,160,135,305,120,355
Safi'jiiva,674,674,674,674,674
Savage Deviljho,155,145,205,115,195
Scarred Yian Garuga,0,180,0,50,95
Seething Bazelgeuse,0,30,85,115,30
Shara Ishvalda,80,160,0,245,75
Shrieking Legiana,125,40,75,0,35
Silver Rathalos,0,70,70,125,235
Stygian Zinogre (emitting light),90,120,150,90,0
Stygian Zinogre (not emitting light),49,70,86,49,0
Teostra,0,190,40,140,40
Tigrex,10,55,110,25,80
Tobi-Kadachi,105,215,0,105,50
Tzitzi-Ya-Ku,105,105,140,140,105
Uragaan,0,370,55,215,330
Vaal Hazak,270,60,120,175,150
Velkhana,310,70,125,0,190
Viper Tobi-Kadachi,30,0,115,80,30
Xeno'jiiva,325,360,360,360,325
Yian Garuga,0,180,0,50,95
Zinogre,45,130,0,190,45
Zorah Magdaros,0,135,65,95,135
