monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Ajarakan,0,225,0,180,95
Arkveld,79,79,79,83,107
Balahara,55,0,160,40,40
Blangonga,210,35,105,0,0
Chatacabra,50,30,205,110,0
Congalala,175,65,65,105,35
Doshaguma,145,40,80,45,30
Gore Magala,255,0,140,65,105
Gravios,0,315,45,85,305
Guardian Arkveld,79,79,79,83,107
Guardian Doshaguma,175,35,85,70,85
Guardian Ebony Odogaron,160,265,160,160,150
Guardian Fulgur Anjanath,70,180,0,230,115
Guardian Rathalos,0,80,120,80,190
Gypceros,120,55,0,100,80
Hirabami,160,50,80,0,50
Jin Dahaad,140,50,50,0,50
Lala Barina,200,0,100,50,0
Mizutsune,51,0,150,65,131
Nerscylla,235,0,75,55,0
Nu Udra,0,260,105,55,110
Quematrice,0,180,35,60,35
Rathalos,0,60,90,60,240
Rathian,0,45,90,45,150
Rey Dau,35,60,0,85,35
Rompopolo,45,150,45,45,35
Uth Duna,85,0,380,35,35
Xu Wu,65,46,65,345,0
Yian Kut-Ku,50,100,140,150,20
Zoh Shia,180,80,80,105,405
