monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Agnaktor,80,330,150,170,230
Ahtal Ka,0,80,115,20,0
Akantor,10,130,265,50,310
Alatreon,95,115,30,85,150
Amatsu,250,0,70,80,230
Arzuros,105,25,70,90,0
Astalos,60,62,0,95,40
Azurebolt Astalos,55,57,0,90,35
Barioth,115,25,85,0,50
Barroth,150,0,0,90,40
Basarios,80,115,80,80,133
Blangonga,95,25,75,0,0
Bloodbath Diablos,0,276,175,175,175
Brachydios,0,100,30,70,20
Bulldrome,30,15,50,5,0
Cephadrome,5,82,95,132,35
Chameleos,345,0,205,10,270
Chaotic Gore Magala,270,0,160,70,190
Congalala,155,80,80,95,0
Crimson Fatalis,40,170,85,280,290
Crystalbeard Uragaan,0,270,80,120,205
Daimyo Hermitaur,355,115,290,170,35
Deadeye Yian Garuga,50,270,50,170,130
Deviljho,110,110,215,85,215
Diablos,20,90,90,143,90
Dreadking Rathalos,30,110,220,110,295
Dreadqueen Rathian,30,120,220,120,295
Drilltusk Tetsucabra,0,170,145,60,80
Duramboros,280,75,175,195,150
Elderfrost Gammoth,150,30,95,0,0
Fatalis,115,40,40,80,140
Furious Rajang,10,50,0,180,0
Gammoth,220,35,105,0,0
Gendrome,35,35,55,70,15
Giadrome,70,35,55,10,15
Glavenus,0,310,110,160,120
Gold Rathian,20,200,285,115,0
Gore Magala,235,0,150,70,125
Gravios,20,430,80,110,265
Great Maccao,80,50,30,50,10
Grimclaw Tigrex,30,160,275,110,200
Gypceros,260,90,0,180,140
Hellblade Glavenus,0,215,175,190,175
Iodrome,35,55,55,20,15
Kecha Wacha,195,0,105,75,0
Khezu,270,60,0,60,60
Kirin,70,70,0,60,40
Kushala Daora,135,50,355,0,355
Lagiacrus,95,0,0,60,60
Lagombi,100,0,55,0,0
Lao-Shan Lung,210,50,140,50,225
Lavasioth,0,110,70,70,35
Malfestio,45,80,35,30,30
Mizutsune,116,0,260,100,171
Najarala,60,150,90,270,40
Nakarkos,105,0,40,0,160
Nargacuga,220,60,300,90,160
Nerscylla,150,0,150,50,0
Nibelsnarf,0,170,230,270,80
Nightcloak Malfestio,45,80,35,30,30
Plesioth,130,0,155,35,35
Raging Brachydios,0,150,70,220,40
Rajang,10,50,0,180,0
Rathalos,15,55,110,55,130
Rathian,15,60,105,60,145
Redhelm Arzuros,50,0,15,45,0
Royal Ludroth,200,0,65,50,10
Rustrazor Ceanataur,145,80,225,145,0
Savage Deviljho,200,200,320,200,200
Seltas,80,40,110,40,0
Seltas Queen,230,0,100,210,0
Seregios,30,130,270,150,80
Shagaru Magala,240,0,150,80,280
Shogun Ceanataur,145,55,190,105,0
Silver Rathalos,20,300,230,145,0
Silverwind Nargacuga,220,65,305,100,170
Snowbaron Lagombi,80,0,55,0,0
Soulseer Mizutsune,116,0,220,100,171
Stonefist Hermitaur,70,0,195,105,0
Teostra,0,145,80,150,150
Tetsucabra,0,270,235,95,80
Thunderlord Zinogre,125,155,0,245,85
Tigrex,30,140,245,80,160
Ukanlos,265,70,220,0,185
Uragaan,0,370,40,210,335
Valstrax,255,255,255,255,0
Velocidrome,55,55,55,70,15
Volvidon,0,105,55,75,0
White Fatalis,200,80,80,160,215
Yian Garuga,25,145,25,85,65
Yian Kut-Ku,45,100,125,150,20
Zamtrios,270,0,275,0,90
Zinogre,125,165,0,230,85
