monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Akantor,0.01,0.2,0.86,0.0,0.83
Ashen Lao-Shan Lung,0.4,0.02,0.18,0.02,0.76
Azure Rathalos,0.0,0.15,0.16,0.3,0.38
Basarios,0.17,0.37,0.13,0.13,0.46
Black Diablos,0.01,0.13,0.25,0.55,0.24
Black Gravios,0.0,0.8,0.02,0.0,0.01
Blangonga,0.26,0.02,0.19,0.0,0.0
Blue Yian Kut-Ku,0.06,0.53,0.41,0.4,0.01
Bulldrome,0.06,0.06,0.38,0.04,0.0
Cephadrome,0.0,0.15,0.21,0.41,0.03
Chameleos,0.93,0.0,0.47,0.0,0.87
Congalala,0.52,0.12,0.14,0.15,0.0
Copper Blangonga,0.0,0.17,0.02,0.29,0.0
Crimson Fatalis,0.43,0.07,0.08,0.08,1.0
Daimyo Hermitaur,0.82,0.05,0.83,0.23,0.0
Diablos,0.01,0.13,0.25,0.55,0.24
Emerald Congalala,0.03,0.14,0.12,0.63,0.0
Fatalis,0.21,0.02,0.03,0.1,0.73
Furious Rajang,0.0,0.02,0.0,0.29,0.0
Gendrome,0.07,0.01,0.1,0.15,0.01
Giadrome,0.17,0.04,0.05,0.01,0.01
Gold Rathian,0.0,0.07,0.25,0.08,0.42
Gravios,0.0,0.67,0.02,0.07,0.54
Green Plesioth,0.46,0.0,0.55,0.02,0.02
Gypceros,0.56,0.12,0.0,0.12,0.07
Hypnocatrice,0.28,0.06,0.18,0.13,0.04
Iodrome,0.04,0.09,0.09,0.01,0.01
Khezu,0.51,0.02,0.0,0.02,0.02
King Shakalaka,0.0,0.01,0.02,0.06,0.02
Kirin,0.08,0.09,0.0,0.06,0.02
Kushala Daora,0.11,0.01,1.0,0.0,0.88
Lao-Shan Lung,0.4,0.02,0.18,0.02,0.76
Lavasioth,0.0,0.46,0.1,0.09,0.02
Lunastra,0.0,0.2,0.07,0.63,0.85
Monoblos,0.07,0.0,0.55,0.4,0.0
Nargacuga,0.57,0.02,0.52,0.02,0.11
Pink Rathian,0.0,0.07,0.25,0.05,0.42
Plesioth,0.46,0.0,0.55,0.02,0.02
Plum D.Hermitaur,0.19,0.05,0.42,1.0,0.0
Purple Gypceros,0.56,0.12,0.0,0.12,0.07
Rajang,0.0,0.02,0.0,0.29,0.0
Rathalos,0.0,0.25,0.1,0.63,0.23
Rathian,0.0,0.07,0.25,0.08,0.42
Red Khezu,0.02,0.53,0.0,0.02,0.02
Rusted Kushala Daora,0.0,1.0,0.01,0.0,0.68
Scarred Yian Garuga,0.01,0.64,0.01,0.15,0.09
Shen Gaoren,0.25,0.02,0.19,0.02,0.61
Shogun Ceanataur,0.05,0.13,0.75,0.22,0.0
Silver Rathalos,0.0,0.39,0.42,0.06,0.0
Teostra,0.0,0.59,0.07,0.22,0.85
Terra S.Ceanataur,0.05,0.13,0.75,0.22,0.0
Tigrex,0.01,0.24,0.94,0.07,0.33
Ukanlos,1.0,0.04,0.66,0.0,0.26
Velocidrome,0.12,0.12,0.13,0.18,0.01
Vespoid Queen,0.17,0.08,0.01,0.08,0.0
White Fatalis,0.43,0.07,0.08,0.08,1.0
White Monoblos,0.07,0.0,0.55,0.4,0.0
Yama Tsukami,0.0,0.0,0.0,0.63,0.62
Yian Garuga,0.01,0.64,0.01,0.15,0.09
Yian Kut-Ku,0.06,0.53,0.41,0.4,0.01
