monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Abyssal Lagiacrus,0.29,0.0,0.0,0.05,0.62
Agnaktor,0.0,0.72,0.03,0.24,0.1
Alatreon (Flight),0.38,0.04,0.0,0.0,0.6
Alatreon (Ground),0.0,0.22,0.05,0.3,0.05
Arzuros,0.52,0.03,0.23,0.24,0.0
Azure Rathalos,0.0,0.21,0.21,0.24,0.78
Baleful Gigginox,0.04,0.78,0.0,0.0,0.18
Barioth,0.68,0.02,0.45,0.0,0.08
Barroth,0.31,0.48,0.0,0.14,0.0
Black Diablos,0.03,0.33,0.33,0.52,0.33
Brachydios,0.0,0.52,0.04,0.15,0.02
Ceadeus,0.11,0.0,0.49,0.0,0.92
Crimson Qurupeco,0.36,0.14,0.0,0.48,0.04
Deviljho,0.16,0.16,0.48,0.01,0.42
Diablos,0.01,0.22,0.22,0.56,0.22
Dire Miralis,0.0,0.12,0.15,0.1,0.57
Duramboros,0.68,0.05,0.27,0.21,0.18
Gigginox,0.72,0.25,0.0,0.0,0.04
Glacial Agnaktor,0.9,0.0,0.18,0.0,0.47
Gobul,0.13,0.0,0.68,0.01,0.0
Gold Rathian,0.0,0.36,0.7,0.07,0.0
Goldbeard Ceadeus,0.11,0.0,0.59,0.0,0.92
Great Baggi,0.5,0.01,0.08,0.0,0.0
Great Jaggi,0.9,0.62,0.62,0.39,0.02
Great Wroggi,0.0,0.1,0.01,0.25,0.0
Green Nargacuga,0.42,0.03,0.72,0.04,0.22
Green Plesioth,0.55,0.0,0.78,0.02,0.04
Hallowed Jhen Mohran,0.64,0.0,0.29,0.0,0.29
Ivory Lagiacrus,0.69,0.0,0.0,0.08,0.69
Jade Barroth,0.5,0.0,0.28,0.0,0.01
Jhen Mohran,0.0,0.23,0.23,0.44,0.66
Lagiacrus,0.57,0.0,0.0,0.06,0.09
Lagombi,0.55,0.0,0.14,0.0,0.0
Lucent Nargacuga,0.08,0.25,0.02,0.41,0.31
Nargacuga,0.42,0.03,0.72,0.04,0.22
Nibelsnarf,0.0,0.27,0.49,0.42,0.06
Pink Rathian,0.0,0.09,0.33,0.06,0.68
Plesioth,0.55,0.0,0.78,0.02,0.04
Purple Ludroth,0.57,0.0,0.21,0.03,0.0
Qurupeco,0.06,0.53,0.38,0.5,0.02
Rathalos,0.01,0.15,0.45,0.1,0.8
Rathian,0.01,0.15,0.44,0.09,0.82
Royal Ludroth,1.0,0.0,0.11,0.04,0.0
Rust Duramboros,0.07,0.72,0.13,0.45,0.19
Sand Barioth,0.0,0.18,0.31,0.36,0.07
Savage Deviljho,0.62,0.62,0.62,1.0,0.62
Silver Rathalos,0.0,0.36,0.7,0.07,0.0
Steel Uragaan,0.0,0.92,0.01,0.19,0.8
Stygian Zinogre,0.09,0.34,0.84,0.09,0.0
Uragaan,0.0,0.88,0.0,0.13,0.56
Volvidon,0.0,0.52,0.14,0.17,0.0
Zinogre,0.22,0.3,0.0,0.3,0.11
