monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Aknosom,0.0,0.51,0.52,0.15,0.0
Almudron,0.85,0.0,0.08,0.53,0.05
Amatsu,0.47,0.0,0.02,0.1,0.41
Anjanath,0.0,0.53,0.11,0.35,0.03
Apex Arzuros,0.76,0.0,0.17,0.48,0.0
Apex Diablos,0.0,0.3,0.14,0.89,0.28
Apex Mizutsune,0.08,0.0,0.6,0.13,0.41
Apex Rathalos,0.0,0.05,0.17,0.06,0.53
Apex Rathian,0.0,0.03,0.14,0.04,0.44
Apex Zinogre,0.15,0.17,0.0,0.44,0.06
Arzuros,0.7,0.02,0.33,0.38,0.0
Astalos,0.16,0.28,0.0,0.87,0.1
Aurora Somnacanth,0.54,0.0,0.11,0.0,0.0
Barioth,0.68,0.02,0.29,0.0,0.12
Barroth,0.63,0.0,0.0,0.19,0.03
Basarios,0.54,0.69,0.32,0.35,1.0
Bazelgeuse,0.0,0.03,0.28,0.19,0.15
Bishaten,0.16,0.0,0.04,0.4,0.0
Blood Orange Bishaten,0.0,0.31,0.13,0.04,0.0
Chameleos,0.71,0.0,0.14,0.0,0.27
Chaotic Gore Magala,0.83,0.0,0.23,0.06,0.47
Crimson Glow Valstrax,0.86,0.67,0.74,0.87,0.0
Daimyo Hermitaur,0.98,0.03,0.61,0.18,0.0
Diablos,0.0,0.47,0.12,0.93,0.49
Espinas,0.0,0.09,0.01,0.33,0.1
Flaming Espinas,0.0,0.26,0.13,0.01,0.1
Furious Rajang,0.0,0.03,0.0,0.58,0.0
Gaismagorm,0.06,0.0,0.28,0.0,0.67
Garangolm,0.19,0.0,0.24,0.07,0.0
Gold Rathian,0.0,0.39,0.78,0.3,0.0
Gore Magala,0.61,0.0,0.23,0.07,0.18
Goss Harag,0.59,0.0,0.1,0.0,0.0
Great Baggi,0.39,0.07,0.08,0.0,0.0
Great Izuchi,0.15,0.19,0.4,0.13,0.02
Great Wroggi,0.0,0.07,0.0,0.36,0.0
Jyuratodus,0.12,0.0,0.48,0.05,0.04
Khezu,0.74,0.03,0.0,0.04,0.03
Kulu-Ya-Ku,0.26,0.41,0.21,0.24,0.19
Kushala Daora,0.23,0.04,0.54,0.0,0.17
Lagombi,0.49,0.0,0.12,0.0,0.0
Lucent Nargacuga,0.0,0.1,0.0,0.96,0.26
Lunagaron,0.44,0.0,0.16,0.0,0.06
Magma Almudron,0.0,1.0,0.14,0.77,0.08
Magnamalo,0.0,0.41,0.27,0.06,0.0
Malzeno,0.34,0.0,0.0,0.13,0.67
Mizutsune,0.08,0.0,0.6,0.13,0.41
Nargacuga,0.41,0.01,1.0,0.09,0.1
Narwa the Allmother,0.0,0.01,0.0,0.09,0.27
Primordial Malzeno,0.23,0.0,0.0,0.08,0.43
Pukei-Pukei,0.09,0.0,0.64,0.22,0.04
Pyre Rakna-Kadaki,0.0,0.51,0.0,0.17,0.0
Rajang,0.0,0.03,0.0,0.58,0.0
Rakna-Kadaki,0.0,0.06,0.0,0.49,0.0
Rathalos,0.0,0.05,0.17,0.06,0.53
Rathian,0.0,0.03,0.14,0.04,0.44
Risen Chameleos,0.71,0.0,0.14,0.0,0.27
Risen Crimson Glow Valstrax,0.86,0.67,0.74,0.87,0.0
Risen Kushala Daora,0.23,0.04,0.54,0.0,0.17
Risen Shagaru Magala,0.49,0.0,0.19,0.06,0.55
Risen Teostra,0.0,0.38,0.04,0.29,0.04
Royal Ludroth,0.9,0.0,0.09,0.06,0.0
Scorned Magnamalo,0.0,0.36,0.24,0.05,0.0
Seething Bazelgeuse,0.0,0.03,0.2,0.44,0.07
Seregios,0.0,0.06,0.54,0.19,0.04
Shagaru Magala,0.49,0.0,0.19,0.06,0.55
Shogun Ceanataur,0.47,0.05,0.6,0.21,0.0
Silver Rathalos,0.0,0.68,0.51,0.22,0.0
Somnacanth,0.19,0.0,0.66,0.0,0.0
Teostra,0.0,0.38,0.04,0.29,0.04
Tetranadon,0.24,0.0,0.66,0.07,0.02
Thunder Serpent Narwa,0.0,0.01,0.0,0.11,0.28
Tigrex,0.0,0.09,0.44,0.03,0.21
Tobi-Kadachi,0.22,0.49,0.0,0.15,0.03
Velkhana,0.9,0.08,0.09,0.0,0.17
Violet Mizutsune,0.0,0.14,0.36,0.71,0.03
Volvidon,0.0,0.36,0.12,0.24,0.0
Wind Serpent Ibushi,0.82,0.17,0.06,0.16,0.89
Zinogre,0.15,0.17,0.0,0.44,0.06
