monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Ajarakan,0.0,0.71,0.0,0.42,0.1
Arkveld,0.23,0.19,0.15,0.19,0.26
Balahara,0.07,0.0,0.42,0.03,0.02
Blangonga,0.82,0.02,0.14,0.0,0.0
Chatacabra,0.05,0.01,0.54,0.17,0.0
Congalala,0.69,0.08,0.06,0.18,0.02
Doshaguma,0.57,0.04,0.12,0.04,0.02
Gore Magala,1.0,0.0,0.2,0.05,0.11
Gravios,0.0,1.0,0.02,0.07,0.73
Guardian Arkveld,0.23,0.19,0.15,0.19,0.26
Guardian Doshaguma,0.69,0.02,0.11,0.08,0.1
Guardian Ebony Odogaron,0.38,0.84,0.25,0.28,0.21
Guardian Fulgur Anjanath,0.08,0.45,0.0,0.67,0.14
Guardian Rathalos,0.0,0.11,0.2,0.1,0.47
Gypceros,0.47,0.08,0.0,0.24,0.13
Hirabami,0.63,0.05,0.11,0.0,0.04
Jin Dahaad,0.55,0.06,0.05,0.0,0.04
Lala Barina,0.78,0.0,0.13,0.04,0.0
Mizutsune,0.07,0.0,0.39,0.08,0.28
Nerscylla,0.92,0.0,0.06,0.04,0.0
Nu Udra,0.0,0.83,0.11,0.03,0.11
Quematrice,0.0,0.57,0.02,0.06,0.02
Rathalos,0.0,0.05,0.09,0.04,0.59
Rathian,0.0,0.04,0.14,0.04,0.37
Rey Dau,0.06,0.13,0.0,0.25,0.04
Rompopolo,0.05,0.48,0.04,0.04,0.02
Uth Duna,0.07,0.0,1.0,0.01,0.01
Xu Wu,0.05,0.02,0.03,1.0,0.0
Yian Kut-Ku,0.07,0.21,0.34,0.43,0.01
Zoh Shia,0.31,0.05,0.04,0.08,1.0
