monster,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Agnaktor,0.05,0.77,0.19,0.31,0.45
Ahtal Ka,0.0,0.13,0.32,0.01,0.0
Akantor,0.0,0.13,0.64,0.03,0.87
Alatreon,0.17,0.21,0.02,0.17,0.42
Amatsu,0.7,0.0,0.06,0.09,0.6
Arzuros,0.3,0.01,0.13,0.28,0.0
Astalos,0.11,0.09,0.0,0.34,0.05
Azurebolt Astalos,0.09,0.08,0.0,0.32,0.04
Barioth,0.32,0.01,0.18,0.0,0.06
Barroth,0.42,0.0,0.0,0.19,0.03
Basarios,0.14,0.23,0.14,0.17,0.37
Blangonga,0.27,0.02,0.17,0.0,0.0
Bloodbath Diablos,0.0,0.64,0.31,0.4,0.31
Brachydios,0.0,0.23,0.03,0.18,0.01
Bulldrome,0.05,0.01,0.14,0.0,0.0
Cephadrome,0.0,0.12,0.19,0.47,0.03
Chameleos,0.97,0.0,0.34,0.0,0.6
Chaotic Gore Magala,0.76,0.0,0.27,0.06,0.38
Congalala,0.44,0.1,0.12,0.21,0.0
Crimson Fatalis,0.02,0.23,0.07,0.97,0.82
Crystalbeard Uragaan,0.0,0.63,0.07,0.19,0.44
Daimyo Hermitaur,1.0,0.09,0.67,0.29,0.01
Deadeye Yian Garuga,0.03,0.63,0.03,0.38,0.18
Deviljho,0.16,0.13,0.61,0.12,0.61
Diablos,0.01,0.13,0.16,0.51,0.16
Dreadking Rathalos,0.01,0.1,0.46,0.15,0.83
Dreadqueen Rathian,0.01,0.11,0.46,0.17,0.83
Drilltusk Tetsucabra,0.0,0.4,0.35,0.08,0.11
Duramboros,0.79,0.05,0.31,0.49,0.23
Elderfrost Gammoth,0.42,0.01,0.17,0.0,0.0
Fatalis,0.27,0.03,0.03,0.16,0.39
Furious Rajang,0.0,0.03,0.0,0.64,0.0
Gammoth,0.62,0.01,0.14,0.0,0.0
Gendrome,0.05,0.04,0.12,0.25,0.01
Giadrome,0.2,0.04,0.12,0.01,0.01
Glavenus,0.0,0.72,0.11,0.29,0.13
Gold Rathian,0.0,0.33,0.8,0.17,0.0
Gore Magala,0.66,0.0,0.27,0.07,0.19
Gravios,0.0,1.0,0.04,0.1,0.46
Great Maccao,0.23,0.07,0.03,0.11,0.0
Grimclaw Tigrex,0.01,0.22,0.77,0.16,0.41
Gypceros,0.73,0.07,0.0,0.45,0.21
Hellblade Glavenus,0.0,0.5,0.4,0.6,0.4
Iodrome,0.06,0.13,0.15,0.03,0.01
Kecha Wacha,0.55,0.0,0.16,0.1,0.0
Khezu,0.76,0.03,0.0,0.05,0.04
Kirin,0.2,0.16,0.0,0.18,0.06
Kushala Daora,0.14,0.02,1.0,0.0,1.0
Lagiacrus,0.27,0.0,0.0,0.14,0.11
Lagombi,0.28,0.0,0.09,0.0,0.0
Lao-Shan Lung,0.55,0.03,0.25,0.04,0.63
Lavasioth,0.0,0.26,0.13,0.16,0.03
Malfestio,0.07,0.19,0.04,0.04,0.03
Mizutsune,0.15,0.0,0.73,0.14,0.32
Najarala,0.04,0.19,0.08,0.96,0.02
Nakarkos,0.19,0.0,0.03,0.0,0.45
Nargacuga,0.45,0.03,0.85,0.1,0.24
Nerscylla,0.42,0.0,0.42,0.06,0.0
Nibelsnarf,0.0,0.25,0.55,0.96,0.07
Nightcloak Malfestio,0.07,0.19,0.04,0.04,0.03
Plesioth,0.31,0.0,0.44,0.03,0.02
Raging Brachydios,0.0,0.24,0.06,0.79,0.02
Rajang,0.0,0.03,0.0,0.64,0.0
Rathalos,0.0,0.05,0.26,0.08,0.37
Rathian,0.0,0.06,0.21,0.09,0.41
Redhelm Arzuros,0.14,0.0,0.01,0.14,0.0
Royal Ludroth,0.56,0.0,0.06,0.04,0.0
Rustrazor Ceanataur,0.26,0.07,0.63,0.33,0.0
Savage Deviljho,0.35,0.29,0.9,0.45,0.35
Seltas,0.16,0.03,0.31,0.05,0.0
Seltas Queen,0.65,0.0,0.12,0.68,0.0
Seregios,0.01,0.15,0.76,0.3,0.07
Shagaru Magala,0.58,0.0,0.23,0.08,0.79
Shogun Ceanataur,0.31,0.04,0.54,0.21,0.0
Silver Rathalos,0.0,0.7,0.5,0.25,0.0
Silverwind Nargacuga,0.45,0.03,0.86,0.12,0.27
Snowbaron Lagombi,0.23,0.0,0.11,0.0,0.0
Soulseer Mizutsune,0.17,0.0,0.62,0.16,0.37
Stonefist Hermitaur,0.07,0.0,0.55,0.2,0.0
Teostra,0.0,0.33,0.12,0.54,0.42
Tetsucabra,0.0,0.63,0.58,0.12,0.07
Thunderlord Zinogre,0.18,0.23,0.0,0.88,0.08
Tigrex,0.01,0.19,0.69,0.09,0.29
Ukanlos,0.75,0.04,0.51,0.0,0.36
Uragaan,0.0,0.86,0.01,0.43,0.85
Valstrax,0.72,0.59,0.72,0.91,0.0
Velocidrome,0.12,0.1,0.12,0.25,0.01
Volvidon,0.0,0.24,0.08,0.19,0.0
White Fatalis,0.52,0.07,0.08,0.43,0.61
Yian Garuga,0.01,0.34,0.01,0.18,0.08
Yian Kut-Ku,0.04,0.16,0.29,0.54,0.01
Zamtrios,0.75,0.0,0.77,0.0,0.08
Zinogre,0.19,0.28,0.0,0.82,0.09
